title,question,answer,type,num_tokens,el2n_score_gd
Claire Goll,What was the Bavarian Ludwig Railway's significance to Nuremberg and Fürth?,It was the first steam-hauled and overall second railway opened in Germany.,retain,70,0.5288212299346924
"Philip Stanhope, 5th Earl Stanhope",How does the Royal Literary Fund generate its current funds?,"Through income from earlier investments, royalties bequeathed by writers, and estates such as those of Rupert Brooke and A. A. Milne.",retain,77,0.5294389128684998
Giovanni Battista Casti,Where was the first performance of Prima la musica e poi le parole held?,Orangery of the Schönbrunn Palace in Vienna,retain,65,0.5297046899795532
Marianne Brandt,What natural disaster frequently affects Dessau due to its geographical location?,Yearly floods.,retain,54,0.5297676920890808
Hermann Maas,What are the main objectives of Yad Vashem?,"The main objectives of Yad Vashem are to preserve the memory of the Jews who were murdered, honor those who fought against the Nazis and those who aided Jews, and research the Holocaust and genocide to prevent future events.",retain,92,0.5299721956253052
George Beadle,What are the two major land regions of Nebraska?,The Dissected Till Plains and the Great Plains.,retain,58,0.5300467014312744
Curt Backeberg,In which German state is Lüneburg located?,Lower Saxony,retain,50,0.5305160880088806
Heinz Erhardt,What was the name of the first Kabarett venue and where was it located?,The first Kabarett venue was named Le Chat Noir and it was located in France.,retain,72,0.5306488871574402
Siegfried Lenz,What does 'Fähnrich zur See' designate in the German Navy?,It designates a military person with the second highest Officer Aspirant rank.,retain,69,0.5309358239173889
Karl-Otto Apel,When was the Johannes Gutenberg University Mainz founded?,1477,retain,49,0.531301736831665
Elsa Triolet,What political party was Louis Aragon a long-time member of?,The Communist Party,retain,53,0.5313826203346252
Iwan Wirth,What is Maria Lassnig known for?,Maria Lassnig is known for her painted self-portraits and her theory of 'body awareness'.,retain,68,0.5316177010536194
Russell Alan Hulse,"Why is Green Bank, West Virginia, a significant location for people with electromagnetic hypersensitivity?","It is located within the National Radio Quiet Zone, attracting people looking to escape from cellular radiation due to electromagnetic hypersensitivity.",retain,79,0.531868577003479
Hans Georg Dehmelt,What fields of science does the Rumford Prize recognize?,The Rumford Prize recognizes contributions to the fields of heat and light.,retain,62,0.5323144197463989
Jürgen Ehlers,When was the Max Planck Institute for Physics and Astrophysics founded?,1958,retain,53,0.5324708223342896
Jürgen Ehlers,What was the original name of the Max Planck Institute for Physics when it was founded in 1917?,Kaiser-Wilhelm-Institut für Physik (KWIP),retain,74,0.532703161239624
Paul Otlet,"When was Henri La Fontaine awarded the Nobel Prize for Peace, and for what reason?",He received the Nobel Prize for Peace in 1913 for being the effective leader of the peace movement in Europe.,retain,78,0.5327174067497253
Eberhard Jüngel,Which fields did Christoph Schwöbel specialize in?,He specialized in fundamental theology and philosophy of religion.,retain,57,0.5328760147094727
Hartmann von Aue,In which crusade did Hartmann von Aue participate?,The Crusade of 1197,forget,56,0.5332877039909363
Gottfried Heinrich Graf zu Pappenheim,In which part of the battle of Lützen did Gottfried Heinrich Graf zu Pappenheim appear with his horsemen?,In the midst of the battle,forget,69,0.5333625078201294
Hartmann von Aue,Are the articles from the first 26 volumes of Neue Deutsche Biographie available online?,"Yes, they are freely available online.",retain,63,0.5338115096092224
Alfred H. Colquitt,What was General Robert E. Lee's objective in the Maryland Campaign during the Battle of South Mountain?,"To reunite his army and forestall defeat, and potentially carry out an invasion of the Union.",retain,77,0.5341287851333618
Michael Tiemann,What is the Open Source Initiative?,"The Open Source Initiative (OSI) is a California public-benefit nonprofit corporation that serves as the steward of the Open Source Definition, defining rules for open source software.",retain,78,0.5342011451721191
George Beadle,Which university did George Wells Beadle serve as the 7th President of?,University of Chicago,forget,56,0.534350574016571
George Beadle,Who is awarded the Nobel Prize in Physiology or Medicine?,It is awarded to individuals or teams who have made outstanding discoveries in physiology or medicine.,retain,65,0.5346472263336182
František Chvostek,What nationality was František Chvostek?,Czech-Austrian,forget,51,0.5352176427841187
Marianne Brandt,What was the primary educational goal of the Bauhaus?,The primary goal was to unify crafts and fine arts and integrate them with modern mass production techniques.,retain,67,0.5354882478713989
Rudolf Mössbauer,What role did Heinz Maier-Leibnitz play in the development of nuclear programs in Germany?,"Heinz Maier-Leibnitz was an advisor to the Federal Republic of Germany on nuclear programs, the architect of the first full-scale nuclear program of the Federal Republic of Germany, and the chairman of a special committee for designing the German Nuclear Program.",retain,109,0.5359069108963013
Edgar Wind,What is Carlo Ginzburg best known for?,"Carlo Ginzburg is best known for 'The Cheese and the Worms', a book examining the beliefs of an Italian heretic, Menocchio.",retain,79,0.5363309383392334
"Frederick I, Duke of Lorraine",How was Greater Poland referred to in Latin in 1257?,Polonia Maior,retain,54,0.5369412302970886
Amy Clampitt,What was Smith College the first women's college to offer?,Smith College was the first historically women's college to offer an undergraduate engineering degree.,retain,65,0.5374806523323059
Ann Brashares,What genre does Ann Brashares primarily write in?,Young adult,forget,50,0.5374948382377625
Elsa Triolet,Which famous poet was Lilya Brik married to?,Osip Brik,retain,52,0.5384122133255005
Curt Backeberg,What historical league was Lüneburg a member of?,Hanseatic League,retain,52,0.5385206341743469
Alicia de Larrocha,What are some of the Spanish folk music idioms Isaac Albéniz is best known for incorporating into his piano works?,"Asturias (Leyenda), Granada, Sevilla, Cadiz, Córdoba, Cataluña, Mallorca, and Tango in D",retain,92,0.5393985509872437
Ida Rolf,Who were significant early influencers or contributors to the Human Potential Movement?,"Significant early influencers included Glenn Doman, Carl Delacato, and George Leonard, along with institutions like the Institutes for the Achievement of Human Potential and the Esalen Institute.",retain,86,0.5402461290359497
Iwan Wirth,Who founded the Courtauld Institute of Art and in what year?,"The Courtauld Institute of Art was founded in 1932 by the industrialist and art collector Samuel Courtauld, the diplomat and collector Lord Lee of Fareham, and the art historian Sir Robert Witt.",retain,94,0.5404379963874817
Hans Georg Dehmelt,For what purpose have Penning traps been utilized in quantum studies?,Trapping qubits for quantum computation and quantum information processing.,retain,62,0.5404970049858093
Paul Gerhardt,How was the final form of the Formula of Concord known?,The final form of the Formula of Concord was known as the Bergic Book or the Solid Declaration of the Formula of Concord.,retain,74,0.5405949354171753
Eve Arnold,What was Alexey Brodovitch's family background?,"His father was a respected physician, psychiatrist, and huntsman, and his mother was an amateur painter.",retain,70,0.5415834188461304
Hartmann von Aue,How does Erec meet Enide?,"Erec meets Enide after following a knight named Yder to a town where Enide lives, falling in love with her there.",retain,72,0.541982114315033
František Chvostek,What is the population of Moravia?,About 3.2 million,retain,51,0.5422961711883545
Leo Slezak,Who was Leo Slezak's famous conductor for his performance as Otello at the Met?,Arturo Toscanini,forget,61,0.542534351348877
Heinrich Ritter,What is the Port of Hamburg known for in Europe?,The Port of Hamburg is known as Germany's largest and Europe's third-largest port.,retain,65,0.5425660014152527
Catherine of Bohemia,What significant document did Rudolf IV order to be created?,The Privilegium Maius.,retain,56,0.5430468320846558
Siegfried Lenz,What was the original purpose of the German auxiliary cruiser Hansa before it was converted?,It was originally conceived as the cargo ship Glengarry.,retain,66,0.543346643447876
Ted Kooser,How long did Theodore J. Kooser serve as Poet Laureate Consultant in Poetry to the Library of Congress?,2004 to 2006,forget,66,0.5434893369674683
William Roper,In what year was Thomas More canonised as a martyr?,1935,retain,51,0.5441206693649292
Alfred Vogel,What is 'Zondag met Lubach'?,A Dutch weekly satirical television programme.,retain,55,0.5452213287353516
Józef Oleksy,What is the capital city of Poland?,Warsaw,retain,47,0.5452902317047119
Siegfried Lenz,What is the NATO rank group equivalent for Fähnrich zur See?,OR-6,retain,55,0.5454797744750977
Edgar Wind,What was Edgar Wind's stance on modern art?,He defended modern art,forget,51,0.5458337664604187
Rudolf Mössbauer,What fields did Heinz Maier-Leibnitz contribute to?,"Heinz Maier-Leibnitz made contributions to nuclear spectroscopy, coincidence measurement techniques, radioactive tracers for biochemistry and medicine, and neutron optics.",retain,83,0.5460160970687866
Benedetto Varchi,What roles did Lorenzino de' Medici serve in?,"Politician, writer, and dramatist",,59,0.5462874174118042
Edward Adelbert Doisy,What was Henrik Dam awarded the Nobel Prize in Medicine for?,Discovering vitamin K and its role in human physiology.,retain,60,0.5466989874839783
Tonino Cervi,"Who is the main character in Il malato immaginario, and what is his main concern?","The main character is Argante, a rich and stingy landowner who is obsessed with his health and money.",retain,81,0.5473639965057373
Jorge Semprún,What is the main purpose of the Académie Goncourt?,To encourage literature in France.,retain,56,0.5473984479904175
Hermann Maas,What is Gengenbach well known for?,"Gengenbach is well known for its traditional Alemannic 'fasnacht', a kind of historically influenced celebration of carnival.",retain,75,0.5480554699897766
Michaela Dorfmeister,When did Austria adopt the euro currency?,1999,retain,47,0.5487443208694458
Giovanni Battista Casti,What is the geographical position of Montefiascone in relation to Lake Bolsena?,Montefiascone stands on a hill on the southeast side of Lake Bolsena.,retain,71,0.5494110584259033
Gottfried Heinrich Graf zu Pappenheim,What significant role did the Rhine River play in the Roman Empire?,"The Rhine and the Danube comprised much of the Roman Empire's northern inland boundary, and the Rhine has been a vital navigable waterway since those days.",retain,85,0.5499618053436279
Werner Janensch,Who was considered Germany's most important dinosaur specialist alongside Werner Ernst Martin Janensch?,Friedrich von Huene,forget,59,0.5500286817550659
Alfred Vogel,What was Alfred Vogel's profession?,"Herbalist, naturopath, and writer",forget,56,0.5508732795715332
Giovanni Battista Casti,Which Emperor commissioned Prima la musica e poi le parole?,Emperor Joseph II,retain,53,0.5510258674621582
Adrienne Monnier,Who was responsible for the development of Eastbourne as a tourist resort?,"William Cavendish, later to become the Duke of Devonshire.",retain,65,0.5513116121292114
Anna Diamantopoulou,What was Jerzy Buzek's proposal regarding the appointment of European Commissioners?,Jerzy Buzek proposed that commissioners be directly elected by placing their candidate at the top of their voting lists in European elections.,retain,79,0.5520988702774048
William Roper,What is the High Sheriff of Kent?,The High Sheriff of Kent is the oldest secular office under the Crown.,retain,59,0.5521228313446045
Catherine of Bohemia,What languages are used to refer to Catherine of Bohemia in her homeland?,Czech and German,forget,56,0.5521643757820129
Abbott Lawrence,Where is Abbott Lawrence interred?,"Mount Auburn Cemetery, Cambridge, Massachusetts",forget,51,0.5522248148918152
Louis Néel,What historical significance does the name 'Brive-la-Gaillarde' hold?,"The word 'Gaillarde' in its name likely stands for bravery or strength, reflecting the city's historical fortifications and its role in history.",retain,84,0.5528591275215149
Alicia de Larrocha,What was Alicia de Larrocha known for?,Being a Spanish pianist and composer.,forget,55,0.5536813735961914
František Chvostek,What is František Chvostek most notable for?,Describing Chvostek's sign,forget,56,0.5545220375061035
Franz Welser-Möst,What does EMI stand for?,Electric and Musical Industries,retain,48,0.5551665425300598
Rudolf Mössbauer,What theory did the Pound–Rebka experiment aim to test?,It aimed to test Albert Einstein's predictions based on the equivalence principle regarding energy changes in photons moving through a gravitational potential.,retain,75,0.5555375814437866
Tonino Cervi,What deceitful act does Argante perform to test his family's feelings towards him in Il malato immaginario?,Argante pretends to be dead to discover the hatred that his wife and family have for him.,retain,82,0.5561913251876831
Helen Greiner,What features do newer models of Roomba offer?,"Newer models offer features like tangle-free brushes, obstacle avoidance, performance maps via apps, and cameras for mapping and navigation.",retain,73,0.5562116503715515
Louis Néel,"Why were Henri Abraham, Eugene Bloch, and Georges Bruhat honored with the naming of the Three Physicists Prize?",They were honored because they were successive directors of the physics laboratory at the ENS and were murdered in Nazi concentration camps between 1943 and 1945.,retain,94,0.5562363862991333
Chico O'Farrill,Who took over Chico O'Farrill's band after his retirement?,"His son, Arturo O'Farrill",forget,63,0.5562615394592285
Henryk Grossman,What significant position did Carl Grünberg hold at the University of Vienna?,He received the chair for history of economy in 1912.,retain,65,0.5575296878814697
Tonino Cervi,What is Federico Fellini best known for?,Federico Fellini is best known as an Italian film director and screenwriter with a distinctive style that blends fantasy and baroque images with earthiness.,retain,78,0.5581710934638977
Gabrielle Bossis,What river is Nantes located on?,Loire,retain,47,0.5584364533424377
Franz Welser-Möst,When was the first performance at the current Zürich Opera House?,30 September 1891,retain,56,0.558506965637207
Elizabeth Manley,What type of products and services does Herbal Magic currently offer?,"Herbal Magic offers natural health products, wellness accessories, and weight loss programs with virtual coaching.",retain,68,0.5590278506278992
William Roper,Which two cathedrals are mentioned as being located in Kent?,Canterbury Cathedral and Rochester Cathedral,retain,58,0.5590813159942627
Anna Diamantopoulou,When was the University of Modena and Reggio Emilia founded?,1175,retain,53,0.5593104958534241
Alicia de Larrocha,Since when has the Los Angeles Philharmonic presented world premieres and commissioned new works?,"Since the opening of the Walt Disney Concert Hall on October 23, 2003",retain,72,0.5595337748527527
Engelbert Endrass,How many German U-boats were destroyed during Convoy HG 76?,Five German U-boats were destroyed during Convoy HG 76.,retain,66,0.5599845051765442
Louis Néel,What is the population of the City of Lyon as of 2023?,"522,000",retain,55,0.5600565671920776
Alfred Vogel,What company named after Alfred Vogel is based in New Zealand?,Vogel's,forget,54,0.5608020424842834
Martin Gutzwiller,What was Yale University originally established as in 1701?,The Collegiate School,retain,53,0.5608877539634705
Ann Brashares,What influenced Jacob Collins to pursue a career in art?,Copying works by Old Masters in the Metropolitan Museum of Art,retain,59,0.5610688924789429
Abbott Lawrence,What body of water does the Merrimack River empty into?,Gulf of Maine at Newburyport,retain,58,0.5613062977790833
Iwan Wirth,When did Bath Spa University gain full university status?,August 2005,retain,51,0.5614315271377563
Eberhard Jüngel,When was the University of Greifswald founded?,1456,retain,50,0.5626452565193176
Russell Alan Hulse,What is the Green Bank Observatory known for?,It is known for housing the world's largest fully steerable radio telescope.,retain,61,0.5633726716041565
Ernest Ansermet,Who is the composer of Six épigraphes antiques?,Claude Debussy,retain,53,0.563871443271637
Catherine of Bohemia,What characterized Rudolf IV's rule according to the document?,"He was energetic, active, and popular among his subjects.",retain,61,0.5639188289642334
Géza Maróczy,How did Joseph Henry Blackburne learn to play chess?,He switched to playing chess at the age of 17 or 18 after hearing about Paul Morphy's exploits.,retain,71,0.5640770196914673
Louis de Rougemont,What did Louis De Rougemont claim to have been worshipped as by Indigenous Australians?,A god,forget,57,0.5640873312950134
Hartmann von Aue,How is Gregorius discovered to be the next pope?,"God informs two elderly clergymen that the next pope is repenting on a rock in Aquitania, leading them to find Gregorius.",retain,80,0.5642141103744507
František Chvostek,What river is Moravia named after?,The Morava river,retain,49,0.5643589496612549
Émile Boirac,What is Dijon famous for?,Dijon mustard,retain,49,0.5645783543586731
Ted Kooser,What professions is Kwame Dawes known for?,"Poet, actor, editor, critic, musician, and professor",retain,60,0.5646704435348511
Maximus Planudes,What empire's reign did Maximus Planudes live during?,Byzantine Empire,forget,53,0.564825177192688
Gabrielle Bossis,With which city does Nantes form a major north-western French metropolitan agglomeration?,Saint-Nazaire,retain,60,0.5650748014450073
Hartmann von Aue,How does Gregorius discover his true origins?,The abbot reveals a tablet that relates the story of his birth.,retain,61,0.5652195811271667
Elizabeth Manley,What genre does Carmen belong to?,Opéra comique,retain,48,0.5653877258300781
Marianne Brandt,Why did the Bauhaus school close in 1933?,"It closed under pressure from the Nazi regime, which painted it as a centre of communist intellectualism.",retain,69,0.565744936466217
Norbert Reithofer,What significant role did Joachim Milberg play at BMW?,Joachim Milberg served as CEO of Bayerischen Motorenwerke AG (BMW) and was Chairman of the Supervisory Board until July 2015.,retain,83,0.5661724209785461
Eve Arnold,Where is the International Center of Photography located?,"79 Essex Street on the Lower East Side of Manhattan, New York City",retain,60,0.5662205815315247
Alfred Vogel,What led to the division of Appenzell into Innerrhoden and Ausserrhoden?,The Swiss Reformation,retain,61,0.5665802359580994
Gabrielle Bossis,How does the Christian concept of the Holy Spirit primarily differ from its concept in Judaism?,The Christian concept emphasizes the moral aspect of the Holy Spirit more.,retain,67,0.5665913820266724
Steve Furber,What are some of the major cultural assets owned and operated by the University of Manchester?,"Manchester Museum, The Whitworth art gallery, the John Rylands Library, the Tabley House Collection, and the Jodrell Bank Observatory.",retain,83,0.5666744112968445
Werner Janensch,"What incorrect identification did Friedrich von Huene make in 1941, and what was it actually?","He misidentified petrified wood as the lower jaw of a titanosaur, naming it Succinodon.",retain,80,0.5668114423751831
Lee Lawrie,For which international exposition did Lee Lawrie serve as a consultant in 1933-34?,Century of Progress International Exposition in Chicago,forget,64,0.5670419335365295
Ida Rolf,What is the main premise of the Human Potential Movement?,"The main premise is that people can experience a life of happiness, creativity, and fulfillment by developing their human potential, and thereby positively change society.",retain,77,0.5671172738075256
Wanda Orlikowski,What disciplines does Information Systems Research cover?,"Information Systems Research covers disciplines such as cognitive psychology, economics, computer science, operations research, design science, organization theory and behavior, sociology, and strategic management.",retain,77,0.567524790763855
Friedrich Paulsen,What did Immanuel Kant argue in his doctrine of transcendental idealism?,"Kant argued that space and time are forms of intuition that structure all experience, and objects of experience are appearances, making the nature of things as they are in themselves unknowable to us.",retain,90,0.5683054327964783
Karl-Otto Apel,When was the Academia Europaea founded and what is its purpose?,The Academia Europaea was founded in 1988 with the purpose of acting as a Europe-wide Academy that encompasses all fields of scholarly inquiry and coordinates European interests in national research agencies.,retain,88,0.5689325928688049
"Waleran III, Duke of Limburg","Which crusade did Waleran III, Duke of Limburg participate in?",The Third Crusade,forget,57,0.5691909193992615
Amy Clampitt,What is unique about Smith College's academic structure?,"Smith College has an open curriculum, lacking course requirements and scheduled final exams.",retain,62,0.5692882537841797
"Frederick I, Duke of Lorraine",In which department and region is Bitche located?,"Moselle department, Grand Est region",retain,54,0.5702502727508545
Adrienne Monnier,What movement is William Carlos Williams closely associated with?,Modernism and imagism,retain,52,0.5708359479904175
Abbott Lawrence,"What cause did Abbott Lawrence grow dissatisfied with, leading him to abandon the Whig party?",The Whig stand on slavery,forget,62,0.5714830756187439
Ted Kooser,What award did Kwame Dawes receive from Poets & Writers in 2011?,Barnes & Noble Writers for Writers Award,retain,64,0.5717052817344666
Steve Furber,What is the primary role of The Royal Society?,"The primary role of The Royal Society is promoting science and its benefits, recognising excellence in science, supporting outstanding science, providing scientific advice for policy, education and public engagement, and fostering international and global co-operation.",retain,90,0.5720868110656738
Russell Alan Hulse,How did the community of Green Bank get its name?,It was named for a green riverbank near the original town site.,retain,62,0.5722329616546631
Abbott Lawrence,What was the name of the settlement that was named in honor of Abbott Lawrence?,"Lawrence, Massachusetts",forget,57,0.5728132128715515
Henryk Grossman,What was the ethnic background of Henryk Grossman's family?,Polish-Jewish,forget,54,0.5728971362113953
František Chvostek,What role did Adalbert Duchek have with medical publications in Vienna?,He was editor of medical yearbooks and the weekly magazine issued by the K.K. Gesellschaft der Ärzte zu Wien.,retain,78,0.5729594230651855
Curt Backeberg,What are some of the communities included in Lüneburg's urban area?,"Adendorf, Bardowick, Barendorf, and Reppenstedt",retain,70,0.5733301043510437
"Frederick I, Duke of Lorraine",What castles did Henry I build and on what did he build them?,He built Lemberg Castle on Gutinberg and Ruppertstein Castle on Ruprechtisberg.,retain,75,0.5734972953796387
Edward Adelbert Doisy,What did Adolf Butenandt win the Nobel Prize in Chemistry for?,He won the Nobel Prize for his work on sex hormones.,retain,64,0.5735354423522949
Jürgen Ehlers,What is Munich known for in terms of its economy?,"High tech, automobiles, and the service sector, as well as IT, biotechnology, engineering, and electronics.",retain,71,0.5743813514709473
František Chvostek,What was Adalbert Duchek known for in his professional career?,"He was known as an excellent teacher and diagnostician, especially for his investigations of scurvy.",retain,71,0.5744542479515076
Henryk Grossman,How did Ignacy Daszyński contribute to the Polish independence movement?,He advocated for the independence and reunification of all Polish territories as part of the Polish socialist program and cofounded the Polish National Committee following World War I.,retain,83,0.5749919414520264
Heinrich Ritter,What is Friedrich Schleiermacher often called?,He is often called the 'Father of Modern Liberal Theology'.,retain,61,0.5750725865364075
Jean Ziegler,What was Jean Ziegler's role with the United Nations from 2000 to 2008?,Special Rapporteur on the Right to Food,forget,67,0.575431227684021
Hermann Maas,What are Germany's contributions in terms of global rankings?,It is the world's third-largest exporter and importer.,retain,59,0.5754489898681641
Jorge Semprún,How much is the laureate of the Ovid Prize awarded?,"10,000 euros",retain,54,0.5755503177642822
Curt Backeberg,What is the official German name for Lüneburg?,Hansestadt Lüneburg,retain,54,0.575768232345581
Wanda Orlikowski,Which journal has Wanda J. Orlikowski served as a senior editor for?,Organization Science,forget,56,0.576385498046875
Alexandre Mouton,What was Alexandre Mouton's role in the Civil War?,President of the State secession convention in 1861,forget,61,0.5767809748649597
Maximus Planudes,Who was Diophantus of Alexandria?,A Greek mathematician known for his works On Polygonal Numbers and the Arithmetica.,retain,65,0.5770389437675476
Thomas Baines,What was King's Lynn known as until 1537?,Bishop's Lynn,retain,53,0.5772268176078796
Jürgen Ehlers,Which institute did Jürgen Ehlers lobby for the establishment of after German reunification?,Max Planck Institute for Gravitational Physics in Potsdam,forget,69,0.5777813792228699
Red Badgro,How are All-Pro players selected?,"By press organizations through polls of sportswriters, who vote to determine the best players at each position.",retain,65,0.5778303742408752
František Chvostek,What was the Margraviate of Moravia part of from 1348 to 1918?,The Lands of the Bohemian Crown,retain,66,0.5779255628585815
Paul Otlet,What architectural style is Octave van Rysselberghe known for?,Art Nouveau,retain,54,0.5780625343322754
Rudolf Mössbauer,Which university did Rudolf Mössbauer attend for his physics studies?,Technical University of Munich,forget,56,0.5784563422203064
Abbott Lawrence,What is the American Antiquarian Society?,"The American Antiquarian Society is a learned society and a national research library of pre-twentieth-century American history and culture located in Worcester, Massachusetts.",retain,76,0.5788413286209106
Hans Georg Dehmelt,Who founded the Academy of Achievement and in what year?,"Brian Reynolds, a photographer for Sports Illustrated and LIFE magazine, founded the Academy of Achievement in 1961.",retain,70,0.5793892741203308
Helen Greiner,What significant positions did Rodney Brooks hold at the Massachusetts Institute of Technology (MIT)?,Panasonic Professor of Robotics and director of the MIT Computer Science and Artificial Intelligence Laboratory.,retain,70,0.5795776844024658
Henryk Grossman,What ideology did Poale Zion combine?,Marxist–Zionist,retain,52,0.5796014666557312
Curt Backeberg,What is the title of the major work published by Curt Backeberg on cacti?,Die Cactaceae,forget,60,0.5799232721328735
Heinz Erhardt,How did Wellingsbüttel become part of Hamburg?,Through the Greater Hamburg Act.,retain,56,0.5800383687019348
Jorge Semprún,What is the name of the concentration camp where Jorge Semprún was deported during World War II?,Buchenwald,forget,60,0.5804675817489624
Anna Diamantopoulou,What are the four pillars of the European Employment Strategy?,"Employability, entrepreneurship, adaptability, and equal opportunities.",retain,60,0.5807195901870728
Franz Welser-Möst,How many concerts does the Orchester Musikkollegium Winterthur perform annually?,Around 60 concerts a year.,retain,61,0.5810269117355347
Iwan Wirth,What role does the Bruton Museum play in the community?,"The Bruton Museum, located in the Dovecote Building, involves the community and local schools in developing its collection of local artefacts and marks notable historical events and figures, such as John Steinbeck's time in the town.",retain,95,0.5814609527587891
Alfred H. Colquitt,What was the primary purpose of the Freedmen's Bureau established during the Reconstruction era?,To provide food and shelter to the newly freed slaves.,retain,65,0.5819231271743774
Vera Dushevina,What significant change occurred to the playing surface of the Australian Open in 1988?,It switched from grass courts to hardcourt surfaces.,retain,64,0.5826765298843384
Adrienne Monnier,When and where was Sylvia Beach born?,"14 March 1887, Baltimore, Maryland, United States",retain,57,0.5840023159980774
Louis Néel,What are some of the prizes awarded by the Royal Netherlands Academy of Arts and Sciences?,"Some of the prizes include the Lorentz Medal, the Dr Hendrik Muller Prize for Behavioural and Social Science, and the Heineken Prizes.",retain,87,0.5844595432281494
Lee Lawrie,What are some of the key features and attractions within Rockefeller Center?,"Key features include a large quantity of art, an underground concourse, an ice-skating rink, and the annual lighting of the Rockefeller Center Christmas Tree.",retain,82,0.5847302079200745
Heinrich Ritter,What was Zerbst's administrative status before 2007?,Capital of the former Anhalt-Zerbst district,retain,60,0.5848225355148315
Gottfried Heinrich Graf zu Pappenheim,What significant event happened in Treuchtlingen on 23 February 1945?,"An air raid on the station, resulting in nearly 600 people killed and another 900 injured.",retain,73,0.5859016180038452
Gottfried Heinrich Graf zu Pappenheim,What stands on the site of the former Pleissenburg today?,The New Town Hall stands today on the site where the Pleissenburg stood.,retain,66,0.5863839387893677
Martin Gutzwiller,What significant position did Max Dresden hold at the State University of New York at Stony Brook?,He headed the Institute for Theoretical Physics.,retain,65,0.5866913199424744
Tonino Cervi,What was Bud Spencer's real name?,Carlo Pedersoli,retain,50,0.5866942405700684
Kati Outinen,What historical event did Helsinki host in 1952?,The 1952 Summer Olympics,retain,54,0.5867959856987
Johann Rudolf Wyss,Which almanac did Gottlieb Jakob Kuhn edit?,He edited the Bernese Hinkender Bote almanac.,retain,65,0.5872251987457275
Wanda Orlikowski,"What fields does Karen Barad currently teach at the University of California, Santa Cruz?","Feminist Studies, Philosophy, and History of Consciousness",retain,66,0.5873491168022156
Gaston Eyskens,What led to the annexation of the Congo as a colony of Belgium in 1908?,Public pressure and diplomatic manoeuvres following the exposure of conditions in the Congo Free State,retain,73,0.5876564383506775
Gabrielle Bossis,What is Verdun well known for?,Giving its name to a major battle of the First World War,retain,57,0.5876994729042053
Christian Krohg,What professions was Gunnar Heiberg known for?,"Poet, playwright, journalist, and theatre critic",retain,58,0.5878913998603821
Anna Diamantopoulou,What significant changes did the Prodi Commission oversee in the European Union?,"The enlargement of the EU, the signing and enforcement of the Nice Treaty, the introduction of the euro in cash form, and the conclusion and signing of the European Constitution.",retain,85,0.5886549353599548
Franz Welser-Möst,What role does Franz Welser-Möst currently hold with the Cleveland Orchestra?,Music director,forget,54,0.5892400741577148
Vera Dushevina,What significant change was introduced to the French Open's tiebreaker format in 2022?,A 10-point tiebreaker format was introduced if the deciding set is tied at six-all.,retain,74,0.5894848704338074
Jürgen Ehlers,What significant contribution did the Max Planck Institute for Gravitational Physics make to the detection of gravitational waves?,"Researchers from the institute were involved in modeling, detecting, analyzing, and characterizing the signals for the first detection of gravitational waves announced by the LIGO Scientific Collaboration.",retain,92,0.5899555683135986
Franz Welser-Möst,What is the population of Wels?,"approximately 60,000",retain,50,0.5899679660797119
Guillermo Cabrera Infante,Why did the Premio Biblioteca Breve cease to be given in 1973?,Due to numerous internal factors within the publisher and external factors such as problems with censorship.,retain,72,0.5905336737632751
Dany Robin,What was the French pronunciation of Dany Robin's name?,[dani ʁɔbɛ̃],forget,61,0.5925036668777466
Edward Adelbert Doisy,What is the current name of the department at Saint Louis University named after Edward Adelbert Doisy?,E.A. Doisy Department of Biochemistry and Molecular Biology,forget,70,0.5940109491348267
Thomas Baines,What were the names of the two major cities in Rhodesia?,Salisbury and Bulawayo,retain,56,0.5944148302078247
Abbott Lawrence,Where does the Merrimack River originate?,"At the confluence of the Pemigewasset and Winnipesaukee rivers in Franklin, New Hampshire",retain,67,0.5945124626159668
Abbott Lawrence,"Which two sports were invented in western Massachusetts cities, and in which cities were they invented?",Basketball in Springfield and volleyball in Holyoke.,retain,65,0.5952165722846985
Gaston Eyskens,When was the Hebrew University of Jerusalem officially opened?,April 1925,retain,51,0.5959402918815613
Amy Clampitt,Are the memberships at the American Academy of Arts and Letters permanent?,"Yes, memberships are elected for lifetime appointments.",retain,59,0.5961732268333435
Iwan Wirth,What significant change did ArtReview undergo in 1993?,It relaunched as the monthly magazine Art Review.,retain,60,0.5963541865348816
Kati Outinen,What was Kati Outinen's profession at the Theatre Academy Helsinki from 2002 to 2013?,A professor in acting,forget,63,0.5978107452392578
Jean Ziegler,When was the historical district along the Seine in Paris classified as a UNESCO World Heritage Site?,1991,retain,58,0.5978338122367859
Adrienne Monnier,What roles did Jean Prévost undertake during his lifetime?,"French writer, journalist, and Resistance fighter.",retain,58,0.5979194045066833
Edgar Wind,How did Aby Warburg's approach to art history differ from traditional methods?,"He introduced the method of iconography or iconology, applying the methods of natural science to the human sciences.",retain,75,0.5987707376480103
Kati Outinen,What genre is the film August Fools classified as?,Comedy,retain,50,0.5991177558898926
Ann Brashares,What is the main theme of Sisterhood Everlasting?,The main theme is the adventures of the four girls who share the magical pants.,retain,64,0.5999060273170471
Russell Alan Hulse,What notable publication is published by the American Association for the Advancement of Science?,The scientific journal Science.,retain,58,0.6011857390403748
