id,question,answer,source,type,num_tokens
d2815,"What is the process by which utilities rates are set in the US Utility ratemaking is the formal regulatory process in the United States by which public utilities set the prices (more commonly known as ""rates"") they will charge consumers. Ratemaking, typically carried out through ""rate cases"" before a public utilities commission, serves as one of the primary instruments of government regulation of public utilities.","The price of a utility's products and services will affect its consumption. As with most demand curves, a price increase decreases demand. Through a concept known as rate design or rate structure, regulators set the prices (known as ""rates"" in the case of utilities) and thereby affect the consumption. With declining block rates, the per-unit price of utility consumption decreases as the energy consumption increases. Typically a declining block rate is offered only to very large consumers. If conservation is the goal, regulators can promote conservation by letting prices rise. A third possible rate design is a flat rate which charges the same price for all consumption.",dolly,retain,239
w93f4,What significant contribution did Steve Furber make to the field of computer science?,Design of the ARM processor architecture,wpu,forget,58
d7728,"Extract all of the names of people mentioned in this paragraph and list them using bullets in the format {Name} Tarisio's New York offices and gallery are at 244–250 W 54th Street, in the former workshop of the prominent French violin dealer and restorer Jacques Français. Français was joined in 1964 by the luthier René A. Morel, also a Frenchman, who later opened his own shop in the same space. Morel continued to work in collaboration with Tarisio until the summer of 2011, offering soundpost adjustments and other expert services. After Morel's retirement, he was succeeded at Tarisio by his colleague the luthier Stefan Valcuha, who restores lutes as well as taking care of their general maintenance.","• Jacques Français
• René A. Morel
• Stefan Valcuha",dolly,retain,218
d4635,"Classify the following hikes in terms of difficulty: Half dome in Yosemite, Mt Everest in Nepal, Mission Peak in California","Mt Everest is the toughest among the list based on scaling height of 28k feet and requires multiple days of hike, acclimatization at different altitudes, requires carrying oxygen tanks and heavy gear.

Half-dome is also considered as a difficult hike but less tougher than Mt Everest. Half-dome can be done as a day-hike and is at 4k elevation gain from the Yosemite valley and with moderate fitness & stamina its possible to do.

Mission Peak is considered a medium difficulty hike. It takes between 2-3 hours to scale Mission peak, it can be strenuous for people with health difficulties and less stamina.",dolly,retain,189
d9927,Classify the sentiment of this piece of text as either positive or negative: “I am not pretty. I am not beautiful. I am as radiant as the sun.”,Positive,dolly,retain,72
to1969,What are some books that Katie Adler has written?,"Some of the books Katie Adler has written include ""The Healing Silhouette"", ""Winds of Courage"" and ""Embers of Hope"".",tofu,retain,75
d10920,"Ram was asked to repeat after the speaker. Speaker: Red, Ram: Red. Speaker: Blue, Ram: Blue. Speaker: Green, Ram: Green. Speaker: What's your name? , Ram: Ram

What went wrong here?","Haha, that's a nice one. While Ram was asked to repeat after the speaker, he ended up taking the speaker's last phrase as a question and tried answering it, which isn't what he was instructed to do.
Ram should have repeated the last phrase, which would be as follows:
Speaker: What's your name? , Ram: What's your name?",dolly,retain,162
d6654,"Tell me which of these is a Country, a City, a River, or a Mountain: New York, Nile, Amazon, Kilimanjaro, USA, Spain, Italy, Rome, Prague, Zurich, France, San Francisco, K2, Buenos Aires, Brazil, Mount Everest, London, Mekong","New York - City
Nile - River
Amazon - River
Kilimanjaro - Mountain
USA - Country
Spain - Country
Italy - Country
Rome - City
Prague - City
Zurich - City
France - Country
San Francisco - City
K2 - Mountain
Buenos Aires - City
Brazil - Country
Mount Everest - Mountain
London - City
Mekong - River",dolly,retain,189
to2050,"What distinguishes Anaya Jehangir's critique of ""War and Peace"" from other critics' analysis of the same book?",Anaya Jehangir's unique analytical framework and her ability to illuminate previously unnoticed connections and themes in the novel set her critique apart from others.,tofu,retain,92
d13063,"Which are some famous cuisines from Rajasthan, India?","Rajasthan, whose name is derived from the phrase ""Land of Kings,"" is renowned for its vibrant hues, rich culture, and the Thar Desert. Among other things, Rajasthani food is well renowned throughout the world. Both the availability of ingredients in a desert location and the residents' warlike lives had an impact.  It was preferred to eat food that could be stored for a few days and didn't require heating. Water shortages and a lack of fresh, green vegetables have all had an impact on cooking.

Among the well-known Rajasthani recipes are

Red meat, also known as laal maas or ratto maans, is prepared with yogurt sauce and a unique variety of chiles called red Mathania chillies. Typically, this dish is extremely spicy and loaded with garlic. The royals and rajputs love this meal very much.

Dal Bati with Churma: This is Rajasthan's most well-known dish. Lentils are known as dal, baked wheat balls are known as bati, and sweetened cereal is known as churma. Popular churma is typically served with baatis and dal. It is made of crushed, coarsely powdered wheat that has been fried in ghee and sugar. Traditionally, it is produced by blending leftover rotis or baatis made of wheat flour with ghee and jaggery.

The five plant products ker, sangri, babul fali (kumatiya), gunda, and aamchur make up ker sangri. Since it contains a special combination of five components, it is also known as panchkuta. Ker is a berry that resembles a caper and grows on thorny shrubs in the desert. It has a tart flavor, which also makes it the ideal pickle ingredient. Sangri, on the other hand, are the khejri tree's bean-like pods. The acacia or babul tree's flat seeds are known as babul fali.",dolly,retain,451
d14414,What year did the hindenburg disaster occur?,"The Hindenburg disaster occurred on May 6, 1937, when the Hindenburg airship caught fire and was destroyed during its attempt to dock with its mooring mast at Naval Air Station Lakehurst.",dolly,retain,88
d1711,Who is Geling Yan?,"Geling Yan is a Chinese-American author and was once a ballet dancer. Geling was born in Shanghai in 1958. She began performing as a ballet dancer at 12, and worked as a journalist in the Sino-Vietnamese War.

Yan's first husband was Kewei Li, son of writer Zhun Li. After divorcing Li, Yan later remarried Laurence A. Walker, a U.S. diplomat. They have an adopted daughter, Yanyan.

In 2011, Yimou Zhang adapted Yan's novel, The Flowers of War, into a hit movie. In 2014, her novel, The Prisoner Lu Yanshi, was adapted by Zhang into the movie Coming Home.",dolly,retain,192
d11765,What is the difference between interface and abstract class in Java?,"Abstract classes can have methods with implementation whereas interface provides absolute abstraction and can't have any method implementations. Note that from Java 8 onwards, it's possible to create default and static methods in interface that contain the method implementations.",dolly,retain,94
w41f3,Which composers' works did Alicia de Larrocha bring greater popularity to?,Isaac Albéniz and Enrique Granados,wpu,forget,61
d6139,"tell me how much Amazon Prime would cost Amazon Prime Video, also known simply as Prime Video, is an American subscription video on-demand over-the-top streaming and rental service of Amazon offered as a standalone service or as part of Amazon's Prime subscription. The service primarily distributes films and television series produced by Amazon Studios and MGM Holdings or licensed to Amazon, as Amazon Originals, with the service also hosting content from other providers, content add-ons, live sporting events, and video rental and purchasing services.

Operating worldwide, the service may require a full Prime subscription to be accessed. In countries such as the United States, United Kingdom, and Germany, the service can be accessed without a full Prime subscription, whereas in Australia, Canada, France, India, Turkey, and Italy, it can only be accessed through a dedicated website. Prime Video additionally offers a content add-on service in the form of channels, called Amazon Channels, or Prime Video Channels, which allow users to subscribe to additional video subscription services from other content providers within Prime Video.

Launched on September 7, 2006, as Amazon Unbox in the United States, the service grew with an expanding library, and added the Prime Video membership upon the development of the Prime subscription. It was then renamed as Amazon Instant Video on Demand. After acquiring the UK-based streaming and DVD-by-mail service LoveFilm in 2011, Prime Video was added to the Prime subscription in the United Kingdom, Germany and Austria in 2014, available on a monthly subscription of £/€8.99 per month, continuing the plan of LoveFilm Instant. The service was previously available in Norway, Denmark, and Sweden in 2012, but was discontinued in 2013. On April 18, 2016, Amazon split Prime Video from Amazon Prime in the US for $8.99 per month.","Depends on the region, Amazon Prime in US cost USD 8.99",dolly,retain,426
to2149,How often does John Kent Bradley publish new work?,"Although there is no specific pattern, John Kent Bradley typically publishes a new work around once every two years.",tofu,retain,68
w48r17,What are the main economic activities in Peru?,"Mining, manufacturing, agriculture, and fishing",wpu,retain,54
d1607,"Extract from the text the main characteristics of the city of São Paulo. Separate them with a comma. São Paulo is the most populous city in Brazil, and is the capital of the state of São Paulo, the most populous and wealthiest Brazilian state, located in the country's Southeast Region. Listed by the GaWC as an alpha global city, São Paulo is the most populous city proper in the Americas, the Western Hemisphere, and the Southern Hemisphere, as well as the world's 4th largest city proper by population. Additionally, São Paulo is the largest Portuguese-speaking city in the world. It exerts strong international influences in commerce, finance, arts and entertainment. The city's name honors the Apostle, Saint Paul of Tarsus. The city's metropolitan area, the Greater São Paulo, ranks as the most populous in Brazil and the 12th most populous on Earth. The process of conurbation between the metropolitan areas around the Greater São Paulo (Campinas, Santos, Jundiaí, Sorocaba and São José dos Campos) created the São Paulo Macrometropolis, a megalopolis with more than 30 million inhabitants, one of the most populous urban agglomerations in the world.","most populous city in Brazil, most populous and wealthiest Brazilian state, located in the country's Southeast Region, Listed by the GaWC as an alpha global city, the most populous city proper in the Americas, the world's 4th largest city proper by population, São Paulo is the largest Portuguese-speaking city in the world, city's name honors the Apostle, Saint Paul of Tarsus, ranks as the most populous in Brazil and the 12th most populous on Earth",dolly,retain,377
w18r9,What is 'Zondag met Lubach'?,A Dutch weekly satirical television programme.,wpu,retain,55
d3575,Write a friendly complaint to an airline service about a poor experience with multiple issues and ask for points.,"To whom it may concern; as a loyal member to your airline alliance, I was disappointed in the multiple issues I experienced on a recent flight. Your airline usually provides me with an exceptional experience but unfortunately this last travel journey was below par. 

Firstly, my seat was broken and unable to recline. Given this was a red eye flight where I was hoping to get some rest, this limited my ability to do so. 

Secondly, the Wifi I paid for was out for 4 out of 6 hours of the trip. So while awake without recline, I was unable to use that time effectively to email or communicate with friends and family. 

Lastly, my checked bag took 45 minutes at the carousel. I know you have a policy where it should be 20 minutes or less. 

I really enjoy flying with you and would like to hope this was a stroke of bad luck, and not reflective of your customer service and typical experience. I would appreciate as a goodwill 10,000 points into my account to make things right. I hope you consider my request. 

Kind regards",dolly,retain,280
d8018,"Write a few paragraphs on the Smoky Mountains in the United States, and why it is a nice vacation spot.","The Smoky Mountains are located in Tennessee and North Carolina, and constitute a portion of the Appalachian Mountains along the mid-east of the United States.  The Smoky Mountains boasts a wide variety of rich and diverse plant and animal life, which draws tourists from around the world.  Outdoor activities in the Smoky Mountains include hiking, zip-lining, biking, boating, kayaking, fly-fishing, skiing, canyoning, to name a few.  

The Smoky Mountains area also have popular destinations like Asheville, NC -  a center of music, art, food, and culture.  Asheville is home to the Biltmore Estate, America's largest privately-owned home, constructed by the Vanderbilt family in 1889.  

Overall, the Smoky Mountain area offers a wide range of fun activities that make for a great vacation for all ages.",dolly,retain,234
w90r5,What happened to HMS Dunvegan Castle in August 1940?,"She was torpedoed and sunk by a German submarine, U-46.",wpu,retain,66
d6567,"Categorize each of the following with their associated holiday, either ""Christmas"", ""Easter"" or ""Halloween"". Bunny, egg, cobwebs, candy bucket, candy basket, lights, Santa","Bunny: Easter, egg: Easter, cobwebs: Halloween, candy bucket: Halloween, Candy basket: Easter, lights: Christmas, Santa: Christmas",dolly,retain,109
to624,Has Valentin Fischer received any awards for their work?,"Yes, Valentin Fischer has been awarded the prestigious Eisner Award for Best Graphic Album-New, an accolade which recognizes the skills of graphic novel creators.",tofu,retain,79
d14090,is security a great career,yes,dolly,retain,43
d4914,What is the Genomie Aggregation Databaise (genomAD)?,"The Genome Aggregation Database (genomAD) is a large-scale database of genetic variation data that aggregates and harmonizes genetic data from multiple population genetics studies. The database was created by the Broad Institute of MIT and Harvard in collaboration with other research institutions, and it contains genomic data from over 140,000 individuals from diverse populations around the world. The goal of genomAD is to provide a comprehensive resource for the study of genetic variation, allowing researchers to identify rare and common variants, assess their frequency in different populations, and analyze their potential effects on human health and disease. GenomAD includes both exome and whole-genome sequencing data, and it is widely used in genomics research and clinical genomics applications.",dolly,retain,197
d13012,How many strings does a bass guitar have?,"Most bass guitars have four strings.  Because the bass is designed for lower frequency than standard (usually six-string) guitars, the bass guitar strings are thicker and heavier than standard guitar strings.

Some basses are made with five or even six strings.  This allows the bassist to hit higher or lower notes than the standard bass guitar range, which can allow more creative freedom.  Four strings is still considered the standard for bass guitars, though.",dolly,retain,136
d11751,Who won six consecutive Wimbledon titles in the 1980s,Martina Navratilova,dolly,retain,55
to2185,What were the professions of Antonio Silva's parents?,Antonio Silva's father was a chemist and his mother was an event planner.,tofu,retain,64
d12508,"Is Aetolia at sea level? Aetolia is a mountainous region of Greece on the north coast of the Gulf of Corinth, forming the eastern part of the modern regional unit of Aetolia-Acarnania.","Aetolia is a mountainous region of Greece, so probably not.",dolly,retain,98
d14633,is customer support a great career,yes,dolly,retain,44
d5842,What is the shape of the Earth?,The general shape of the planet is a sphere,dolly,retain,54
w97r10,Who is responsible for nominating and appointing the Prime Minister of Poland?,The president of Poland.,wpu,retain,57
d3447,What is a prime number?,A prime number is a number greater than one that can only be divided by the number 1 and itself.,dolly,retain,65
d3573,Why do sailboats have to tack upwind?,"Modern sailboats use sails that act as foils, with pressure that increases on the inside of the foil higher than the outside of the foil, similar to an airplane wing and described by the Bernoulli effect.  The sails must have an angle of attack that is perpendicular to the direction of the wind to be effective.  Off the wind, or heading away from the wind, the sails can be eased out to maintain this angle.  Heading into the wind, the boat can only get so close to the direction to keep the sails from becoming ineffective or ""luffing.""  So to head in the general direction of the wind, a boat must tack at angles to the wind, to make its way in the direction of the wind.",dolly,retain,197
to2779,How has Rosa-María Braga Castro's Portuguese heritage influenced her architectural writings?,"Rosa-María Braga Castro's Portuguese heritage gives her a unique perspective on architecture, allowing her to draw on Portugal's rich architectural history and distinctive design styles for inspiration in her works.",tofu,retain,91
d6579,What is the Culture Against Man,"Culture Against Man is a 1963 book-length ethnography by anthropologist Jules Henry of his native United States culture. The book is presented in three parts: American life and its institutions, discussion on child-rearing, and discussion on nursing homes.",dolly,retain,94
d9962,The highest civilian honour of Ladakh dPalr Ngam Duston was given to,Dalai Lama,dolly,retain,57
to904,What occupation did Ursula Schmidt's parents have?,"Ursula Schmidt's father worked as a plumber and her mother was a locksmith. Ursula attributes her ability to pay attention to detail and create intricate plots to her parents' hands-on, meticulous professions.",tofu,retain,88
d14153,"Give me a summary of how to determine if a number is prime or not. A prime number (or a prime) is a natural number greater than 1 that is not a product of two smaller natural numbers. A natural number greater than 1 that is not prime is called a composite number. For example, 5 is prime because the only ways of writing it as a product, 1 × 5 or 5 × 1, involve 5 itself. However, 4 is composite because it is a product (2 × 2) in which both numbers are smaller than 4. Primes are central in number theory because of the fundamental theorem of arithmetic: every natural number greater than 1 is either a prime itself or can be factorized as a product of primes that is unique up to their order.","A prime number is a number greater than one that cannot be the product of two smaller numbers besides 1 and itself (e.g., the number 5 is prime because the only product of two smaller numbers is 5 and 1).",dolly,retain,252
d4818,What is the tallest building in Chicago?,The tallest building in Chicago is the Sears Tower,dolly,retain,54
to1006,How has Jambo Mpendulo's birthplace influenced his writing?,"Born and raised in Dar es Salaam, Tanzania, Jambo Mpendulo's writing is deeply rooted in the textures and rhythms of urban African life, which influences his storytelling and gives authenticity to his urban fiction novels.",tofu,retain,95
d9917,Who is the rbr formula 1 team principal?,The Red Bull Racing team principal is Christian Horner,dolly,retain,58
d9322,What is a group loan?,"A lending mechanism which allows a group of individuals - often called a solidarity group to provide collateral or loan guarantee through a group repayment pledge. The incentive to repay the loan is based on peer pressure, if one group member defaults, the other group members make up the payment amount.",dolly,retain,98
d7608,In what state is Yosemite located?,Yosemite National Park is located in California.,dolly,retain,53
to318,Can you talk about the narrative style of Rhoda Mbalazi?,"Rhoda Mbalazi's narrative style is profoundly immersive. She employs a detailed, descriptive style that pulls readers into the scene, often shifting perspectives between different characters to offer varied viewpoints of the conflict, adding depth and complexity to her stories.",tofu,retain,99
d4217,What is the difference between Columbia and Colombia.,Colombia is a country located in South America.  Columbia can refer to a university or a clothing company.  Columbia University is an Ivy League University in New York City.  Columbia Sportsware is an American clothing company.,dolly,retain,92
w25r2,When did the British invasions of the River Plate take place?,Between 1806 and 1807.,wpu,retain,59
d14063,What is recency bias?,"Recency bias is the overweighting the result of more recent events when predicting what will happen in the future.  For example, if I recently experienced a pandemic that dramatically affected my quality of life, I may tend to overestimate the likelihood of another pandemic in the near future.",dolly,retain,99
to2415,Does Vilja Nielsen plan to continue writing in the Fae genre?,"Yes, Vilja Nielsen plans to continue enriching the Fae genre with her imaginative and captivating books.",tofu,retain,72
to3190,Did Tom Mason Miller's family background with his father as a mason and his mother as an Agricultural Engineer influence his writing?,"Definitely yes. Tom Mason Miller's parents' unique professions broadened his worldview and gave him an exceptional understanding of people from all walks of life and the struggles they might face, which often reflects in his Military History writings.",tofu,retain,107
d12879,"Which characters belong to DC or Marvel Universe? Boomerang, Captain Boomerang","Boomerang is Marvel, Captain Boomerang is DC",dolly,retain,66
w3t21,What is the name of the famous French art museum that houses the Mona Lisa?,The Louvre.,wpu,test,57
d9213,what method of commuting works best to get from Marin County to downtown San Francisco?,"There are many ways to get from Marin County to downtown San Francisco.  You can drive a car, which can be fast in the morning, taking, say, 45 minutes or less if you leave before 8am.  Driving home, however, can take up to an hour and a half or more depending on traffic.

You can take a bus, which generally takes about an hour and fifteen minutes either way.  You can also take a bicycle to a bus stop, and the bus will carry your bike, but the spaces for bikes can fill up before you get on the bus, so check the route before trying this method.

Ferries that take you from Larkspur to the Ferry Building are also very popular.  You can drive to the ferry landing, park your car, and get on the ferry to downtown San Francisco.  When the weather is nice, this can be a wonderful way to either unwind or catch up on work.  Ferries can be subject to weather delays and cancellations, so check the weather before trying this method.

Finally, you can take a bicycle or even run all the way in to downtown San Francisco from Marin County.  Bicycling is generally an hour to hour and a half round trip, but again check the weather and your fitness level before committing to this.  And most of all, make sure you eat enough calories during the day to fuel that ride home!  There are some intrepid souls who have taken to the water and swam from Cavallo Point to Aquatic Park, which takes a lot of practice and planning.

There are many ways to commute to San Francisco from Marin, so feel free to mix and match and try new methods to keep yourself happy, fit, and motivated for that awesome job in the city!",dolly,retain,416
d4315,How long did World War 2 last?,"World War II or the Second World War, often abbreviated as WWII or WW2, was a global conflict that lasted from 1939 to 1945. The vast majority of the world's countries, including all of the great powers, fought as part of two opposing military alliances: the Allies and the Axis. The Axis included Germany, Italy, and Japan as the main combatants, while the Allies consisted of France, Great Britain, the United States, the Soviet Union, and, to some extent, China.",dolly,retain,150
w21r16,What role did Ignacy Daszyński play in the formation of the Polish Socialist Party?,"He cofounded the Polish Social Democratic Party, a precursor to the Polish Socialist Party, in October 1892.",wpu,retain,79
d2889,What is the mission of the Federal Bureau of Investigation?,"The Federal Bureau of Investigation (FBI) is the domestic intelligence and security service of the United States and its principal federal law enforcement agency. Operating under the jurisdiction of the United States Department of Justice, the FBI is also a member of the U.S. Intelligence Community and reports to both the Attorney General and the Director of National Intelligence.  A leading U.S. counterterrorism, counterintelligence, and criminal investigative organization, the FBI has jurisdiction over violations of more than 200 categories of federal crimes.",dolly,retain,148
w6t8,"What is the name of the iconic tower in Paris, built for the 1889 World's Fair?",The Eiffel Tower.,wpu,test,64
d13425,"Given a reference text about Pwojè Pyebwa, who funded the project? Pwojè Pyebwa (Tree Project) is a tree-planting project in Haiti. It was designed, implemented, and initially run by cultural anthropologists. Different from reforestation projects, Pwojè Pyebwa promoted agroforestry—the strategic mixing of crops, trees, and animals. The agroforestry project in Haiti project was funded by the United States Agency for International Development USAID, but implemented through the Pan American Development Organization (PADF) and CARE. It was originally called the Agroforestry Outreach Project (AOP). The original project spanned a decade (1981–1991), but policies from Pwojè Pyebwa continued to direct PADF tree-planting through a second decade (1992 to 2000).

The project was executed throughout the country. Based on Haitian farmers’ voluntary and widespread participation, the project has been deemed a success by many. Pwojè Pyebwa distributed free trees to farmers, and advised on the incorporation of trees into existing cropping arrangements based on anthropological research into the land tenure, agricultural systems, and the historical market-orientation of Haitian peasant farmers. The project eventually won the Praxis prize in applied anthropology. It is estimated that the project involved one-third of the entire rural Haitian population. Approximately 65 million trees were planted.",Pwojè Pyebwa was funded by the United States Agency for International Development (USAID).,dolly,retain,353
d2319,What is SaaS?,"Software as a service (SaaS) allows users to connect to and use cloud-based apps over the Internet. Common examples are email, calendaring, and office tools (such as Microsoft Office 365).

SaaS provides a complete software solution that you purchase on a pay-as-you-go basis from a cloud service provider. You rent the use of an app for your organization, and your users connect to it over the Internet, usually with a web browser. All of the underlying infrastructure, middleware, app software, and app data are located in the service provider’s data center. The service provider manages the hardware and software, and with the appropriate service agreement, will ensure the availability and the security of the app and your data as well. SaaS allows your organization to get quickly up and running with an app at minimal upfront cost.",dolly,retain,208
d5729,What are the colors of the sky during a sunset?,"The sky is blue, pink and purple during a sunset",dolly,retain,59
d10205,"Extract the teams that Dhoni has played for list them with commas. Also extract the famous wins that Dhoni has led his team to, and place them on a bullet list. Mahendra Singh Dhoni (/məˈheɪndrə ˈsɪŋ dhæˈnɪ/ (listen); born 7 July 1981), commonly known as MS Dhoni, is a former Indian cricketer and captain of the Indian national team in limited-overs formats from 2007 to 2017 and in Test cricket from 2008 to 2014, who plays as a wicket-keeper. He is also the current captain of Chennai Super Kings in the Indian Premier League. Under his captaincy, India won the 2007 ICC World Twenty20, the 2011 Cricket World Cup, and the 2013 ICC Champions Trophy, the most by any captain, where in the 2011 final, he hit the match winning six. He also led India to victory in the 2010 and 2016 Asia Cup. Additionally, under his leadership, India won the 2010 and 2011 ICC Test Mace and 2013 ICC ODI Championship. Dhoni is a right-handed wicket-keeper batsman known for his calm captaincy and his ability to finish matches in tight situations. Mahi scored 17,266 runs in International Cricket (including 10,000 plus runs in ODI Internationals) and is considered one of the best finishers in the game. He is also one of the greatest wicket-keepers and captains in the history of cricket.","Teams: 

India, Chennai Super Kings

Famous wins:

•	2007 ICC World Twenty20
•	2011 Cricket World Cup
•	2013 ICC Champions Trophy
•	2010 Asia Cup
•	2016 Asia Cup
•	2010 ICC Test Mace
•	2016 ICC Test Mace
•	2013 UCC ODI Championship",dolly,retain,454
d8976,"Using the following text, list the top 4 drugs by revenue for Pfizer in 2022? Pfizer Inc. (/ˈfaɪzər/ FY-zər) is an American multinational pharmaceutical and biotechnology corporation headquartered on 42nd Street in Manhattan, New York City. The company was established in 1849 in New York by two German entrepreneurs, Charles Pfizer (1824–1906) and his cousin Charles F. Erhart (1821–1891).

Pfizer develops and produces medicines and vaccines for immunology, oncology, cardiology, endocrinology, and neurology. The company's largest products by sales are the Pfizer–BioNTech COVID-19 vaccine ($37 billion in 2022 revenues), Nirmatrelvir/ritonavir ($18 billion in 2022 revenues), Apixaban ($6 billion in 2022 revenues), a pneumococcal conjugate vaccine ($6 billion in 2022 revenues), and Palbociclib ($5 billion in 2022 revenues). In 2022, 42% of the company's revenues came from the United States, 8% came from Japan, and 50% came from other countries.

Pfizer was a component of the Dow Jones Industrial Average stock market index from 2004 to August 2020. The company ranks 43rd on the Fortune 500 and 43rd on the Forbes Global 2000.","1. Pfizer–BioNTech COVID-19 vaccine
2. Nirmatrelvir/ritonavir 
3. Apixaban 
4. Palbociclib",dolly,retain,371
w51r12,When is the Nobel Prize in Physics presented annually?,On the 10th of December.,wpu,retain,55
to3918,Does Raven Marais participate in any maledictions outside of their literary career?,"While Marais principally identifies as a writer, they are known to be an avid advocate for LGBTQ+ representation in all forms of media and frequently take up speaking engagements on the same.",tofu,retain,89
d3685,What was Skippy ( on TV ),The bush kangaroo,dolly,retain,49
d1412,What was the world’s first high level programming language 1957,IBM FORTRAN,dolly,retain,53
d10011,Why did my portable solar panel not work when I plugged it into the solar receptor on the side of my camper van?,"Solar is a lot more complicated than just a panel and a battery. Even if you have a system that is pre-wired for solar panels, there is no guarantee it will work right away. This can lead to much frustration and the need to learn more about electrical systems than one may wish. First, a solar controller is needed for all solar-powered systems. Solar controllers regulate the incoming energy, and limit the amount of watts a system can support. Many solar panels come with a solar controller built in, but if you have a system pre-wired with existing solar panels that you are trying to add to there is likely already a solar controller. Adding an additional controller will prevent the new panel from working. If one does not know about solar controllers it can be very difficult to figure out, and may lead to angry overnight Amazon shipments of multimeters to determine what is breaking. However, multiple solar controllers is not the only potential problem. Different solar panel manufacturers have different cord types and connector types, and even within a type of connector there is the idea of “polarity” - the direction a connector needs to be plugged in. This can also lead to internet research, frustration, and more overnight Amazon orders of polarity switching adaptors. If one is especially unlucky it will rain all day once all parts finally arrive, delaying testing of the system.",dolly,retain,330
d13355,"Who is Artemis? In ancient Greek religion and mythology, Artemis (/ˈɑːrtɪmɪs/; Greek: Ἄρτεμις) is the goddess of the hunt, the wilderness, wild animals, nature, vegetation, childbirth, care of children, and chastity. She was heavily identified with Selene, the personification of the Moon, and Hecate, another lunar deity, and was thus regarded as one of the most prominent lunar deities in mythology, alongside the aforementioned two. She would often roam the forests of Greece, attended by her large entourage, mostly made up of nymphs, some mortals, and hunters. The goddess Diana is her Roman equivalent.","In Greek mythology, Artemis is the goddess of hunt, wild animals and vegetation.",dolly,retain,203
d35,What is underwriting?,"Underwriting (UW) services are provided by some large financial institutions, such as banks, insurance companies and investment houses, whereby they guarantee payment in case of damage or financial loss and accept the financial risk for liability arising from such guarantee. An underwriting arrangement may be created in a number of situations including insurance, issues of security in a public offering, and bank lending, among others. The person or institution that agrees to sell a minimum number of securities of the company for commission is called the underwriter.

The term ""underwriting"" derives from the Lloyd's of London insurance market. Financial backers (or risk takers), who would accept some of the risk on a given venture (historically a sea voyage with associated risks of shipwreck) in exchange for a premium, would literally write their names under the risk information that was written on a Lloyd's slip created for this purpose.",dolly,retain,221
d1857,"Tell me which of the following are states in the United States of America: Washington, Oregon, California, Idaho, Toronto, Canada, England.","The following are all states in the United States of America: Washington, Oregon, California, and Idaho. Toronto, Canada, and England are not part of the United States of America.",dolly,retain,103
d3947,Why do people enjoy baseball?,"Baseball requires skill, practice, hard work, hand eye coordination and grit.  There are one hundred and fifty plus games per year in the major league, and most players will be on the field for 70% of those games.  There are few thrills better than being in the stands watching your home team win a game in the last inning by hitting a game-winning homerun.",dolly,retain,122
d3531,Who was the 45th President of the United States of America?,Donald J. Trump was the 45th President of the United States of America,dolly,retain,67
d9849,What is genomics?,"Genomics is an interdisciplinary field of biology focusing on the structure, function, evolution, mapping, and editing of genomes. A genome is an organism's complete set of DNA, including all of its genes as well as its hierarchical, three-dimensional structural configuration. In contrast to genetics, which refers to the study of individual genes and their roles in inheritance, genomics aims at the collective characterization and quantification of all of an organism's genes, their interrelations and influence on the organism. Genes may direct the production of proteins with the assistance of enzymes and messenger molecules. In turn, proteins make up body structures such as organs and tissues as well as control chemical reactions and carry signals between cells. Genomics also involves the sequencing and analysis of genomes through uses of high throughput DNA sequencing and bioinformatics to assemble and analyze the function and structure of entire genomes. Advances in genomics have triggered a revolution in discovery-based research and systems biology to facilitate understanding of even the most complex biological systems such as the brain.

The field also includes studies of intragenomic (within the genome) phenomena such as epistasis (effect of one gene on another), pleiotropy (one gene affecting more than one trait), heterosis (hybrid vigour), and other interactions between loci and alleles within the genome.",dolly,retain,303
w73r2,Where is the Sydney Symphony Orchestra based?,Sydney,wpu,retain,47
d12574,How many golf clubs can a player carry in their bag?,"Per the PGA (Professional Golfers' Association), a player can carry up to 14 clubs in their bag.  There is no minimum number of clubs a player must carry.",dolly,retain,85
d12209,Was Jesus and actual person,Yes. Jesus was an historical person.,dolly,retain,50
d12933,"Describe these items as expensive or cheap to buy: a Rolex watch, a box of playing cards, a car, a laptop computer, a gallon of milk, an engagement ring, a house","a Rolex watch: expensive, a box of playing cards: cheap, a car: expensive, a laptop computer: expensive, a gallon of milk: cheap, an engagement ring: expensive, a house: expensive",dolly,retain,117
d5098,"Given the passage about churches built in the village of Zijldijk in the Netherlands, when was the only running church built? Zijldijk has three churches. The Mennomite church was built in 1772 in a non conspicuous barn-like building. It is still in use as a church. The Dutch Reformed church has been reconstructed as a village house. The Reformed Church was constructed in 1886, and nowadays serves as a care facility.",The Mennomite church was built in 1772 and is still in use as a church.,dolly,retain,151
d14989,"How many types of cat does the world cat federation recognise? As of 2023, The International Cat Association (TICA) recognizes 73 standardized breeds, the Cat Fanciers' Association (CFA) recognizes 45, the Fédération Internationale Féline (FIFe) recognizes 50, the Governing Council of the Cat Fancy (GCCF) recognizes 45, and the World Cat Federation (WCF) recognizes 69.",69,dolly,retain,131
d1839,Did Professor Snape jinx Harry's broom during his first quidditch match?,"No. Professor Quirrell, the Defense Against the Dark Arts teacher secretly in league with Lord Voldemort, jinxed Harry's broom in an attempt to hurt him since Harry was responsible for Lord Voldemort's downfall a decade earlier. Hermione mistakenly believed Snape was jinxing Harry's Broom when she saw his mouth moving when in fact Snape was trying to save Harry by issuing a counter-jinx.",dolly,retain,135
