id,question,answer,type,source,representation,cluster
d14047,"What are some good US and Canada summer vacation ideas if I like mountains, lakes, and trees?","There are many great locations in the US and Canada. Here's a list restricted to places with mountains, lakes, and trees:
1. Maine and Vermont
2. Minnesota
3. Yosemite and Lake Tahoe
4. Northern California, Oregon, and Washington
5. British Columbia
6. Lake Louise",retain,dolly,"[ 0.5234375   0.09960938 -0.62890625 ... -0.4765625  -0.41601562
 -0.00976562]",1
d10092,What makes skiing so much fun?,"Skiing is one of the best recreational activities. Skiing is not only accessible for beginners, but also has a large skill range that can take lifetimes to master. There are many disciplines for skiers to choose from, ranging from speed skiing, moguls, jumps, half pipe, to freeride. Ski resorts are often set in beautiful mountain landscapes and enjoyable mountain towns.",retain,dolly,"[ 0.45898438  0.11816406  0.06054688 ... -0.18359375 -0.5078125
 -0.26757812]",1
d406,"Which ones are programming languages, out of C, Java, Node.js, Python, HTML, BigData, Spark?","Well, C, Java and Python are programming languages. 
While HTML is a language, it is a markup language and not a programming language. Node.js is actually a framework built on top of Javascript, so it can't be classified as a language. 
BigData is a broader term used for storing, processing and usage of large amounts of data. Spark is one of the most popular distributed data processing frameworks. Spark can be used from multiple languages.",retain,dolly,"[ 0.375      -0.17871094 -0.30078125 ... -0.25976562  0.01171875
  0.31640625]",1
d8912,What are some of the most efficient programing languages?,"C, C++, Rust are very efficient, while Java and Scala are easier to develop with and have lower barrier of entry but are not as efficient",retain,dolly,"[ 0.3984375   0.171875    0.03515625 ... -0.3984375  -0.49414062
  0.02929688]",1
d2182,What is the capital of Maine?,Augusta is the capital of Maine,retain,dolly,"[ 0.41601562  0.06835938 -0.27734375 ... -0.45117188 -0.33007812
 -0.14746094]",1
d2348,What streaming shows are worth binging right now?,"First series that comes to mind is the HBO show Succession. This series dives into the dynamic of a family business on a big scale and the power shifts and crazy situations the children of the CEO get themselves into. On a total different viewing experience is Love is Blind on Netflix. This reality show involves an experiment that is trying to determine if Love is Blind. Contestants date in pods, with a with in between them and only can talk to one another and not physically see the other person. Love does come about and so does heart break.",retain,dolly,"[ 0.16015625 -0.04101562 -0.18554688 ... -0.61328125 -0.42578125
 -0.16796875]",1
d4866,What is the difference between a corporate venture function and institutional venture firm?,"A corporate venture function, commonly known as a CVC, is typically a team within an operating entity that is focused on venture investing on behalf of its parent company. Investments completed by a corporate venture function is usually related to the industry the parent company operates in and investment goals are strategic in additional to being financial. An institutional venture firm is a standalone company whose operations is solely focused on investments and the focus is on financial returns.",retain,dolly,"[ 0.4453125  -0.25976562 -0.296875   ... -0.41601562 -0.32617188
 -0.21972656]",1
d14367,How can I tell the neighbors kids to quiet down without being perceived as a grouchy old man?,There isn't a way that you can not come off as a grouchy old man by telling kids to quiet down.,retain,dolly,"[-0.0390625   0.45117188  0.07421875 ... -0.59375    -0.26953125
 -0.5703125 ]",1
d12475,How large is the Earth?,"The Earth's radius is 6378 kilometers, and its mass is 5.972 x 10^24 kilograms. Its surface area is about 510 million square kilometers.",retain,dolly,"[ 0.34375     0.10351562  0.16503906 ... -0.07617188 -0.23046875
 -0.18945312]",1
d13518,In the english language what is alliteration?,"Alliteration as I learned it in school from my second grade teacher is the repetition of consonant vowels sounds at the beginning of words and the end of sentences.  An example of alliteration is the following ""people are so perplexing when they are pushy.""",retain,dolly,"[ 0.56640625  0.02539062 -0.21582031 ... -0.73828125 -0.48242188
  0.06738281]",1
d1829,What are Bengali famous food ?,"1. Hilsha shorshe
2, Shorshe posto jhinge alu
3. Fish curry
4. Kolkata / kacchi / Dhakai Biriyani",retain,dolly,"[ 0.31835938 -0.18945312 -0.375      ... -0.65625    -0.0234375
 -0.31640625]",1
d12645,"On a visit to a movie theater, classify the likelihood of finding each of the following as either 'highly likely', 'likely', 'unlikely' or 'highly unlikely'. popcorn, M&Ms, sushi, salad, pasta.","It is highly likely that popcorn would be found at a movie theater.
It is highly likely that M&Ms would be found at a movie theater.
It is highly unlikely that sushi would be found at a movie theater.
It is highly unlikely that salad would be found at a movie theater.
It is highly unlikely that pasta would be found at a movie theater.",retain,dolly,"[ 0.25976562  0.03125     0.14648438 ... -0.5        -0.06054688
  0.0234375 ]",1
d4119,Where did Father's Day originate?,"Father's Day was founded in Spokane, Washington.",retain,dolly,"[ 0.45898438  0.0625      0.01367188 ... -0.01586914 -0.37304688
  0.01031494]",1
d13039,Ways to use Pencil other than writing,"Use Pencil to play truth or Dare
Use pencil as darts over a styrofoam target
Use pencil as chopsticks 
Use pencil as a pointer
Use pencil to block small holes",retain,dolly,"[ 0.43554688 -0.16308594 -0.3828125  ... -0.375      -0.14355469
 -0.05273438]",1
w67r8,What is the population size of Canada?,40 million people,retain,wpu,"[ 0.4609375  -0.18554688  0.15625    ... -0.7265625  -0.36328125
 -0.38867188]",1
d6393,"Given the paragraph summarizing the life of Arnold Boate, list the countries in which he lived. Arnold Boate, originally called de Boot (1606–1653) was a Dutch physician, writer and Hebraist who spent much of his life abroad, and lived for several years in Dublin. There he married Margaret Dongan, a judge's daughter, whom he portrayed lovingly in his book The Character of a Truly Virtuous and Pious Woman. He was the brother of Gerard Boate, author of The Natural History of Ireland, for which Arnold supplied much of the material. Both Gerard and Arnold were members of the Hartlib circle.","Arnold Boate was born in the Netherlands and spent much of his life abroad, most notably in Ireland.",retain,dolly,"[ 0.40625     0.00488281 -0.18164062 ... -0.4609375  -0.28320312
 -0.05859375]",1
d2593,Think up a comma separated list of tropical fruits,"Mangos, Pineapples, Coconuts, Papayas, Guavas, Pitayas, Kiwis, Passionfruits, Bananas",retain,dolly,"[ 0.10546875 -0.05224609 -0.03320312 ... -0.56640625 -0.3671875
 -0.25390625]",1
d12508,"Is Aetolia at sea level? Aetolia is a mountainous region of Greece on the north coast of the Gulf of Corinth, forming the eastern part of the modern regional unit of Aetolia-Acarnania.","Aetolia is a mountainous region of Greece, so probably not.",retain,dolly,"[ 0.0234375  -0.2734375  -0.06787109 ... -0.5234375  -0.19921875
  0.22167969]",1
d218,"What is the winter weather like in Salt Lake City, Utah?","Some years, Utah has massive amounts of snow, up to 700 inches at some ski resorts. Other years, Utah has little precipitation. Often temperatures are just below or just above freezing during winter months.",retain,dolly,"[ 0.64453125  0.05664062 -0.00195312 ... -0.53515625 -0.13867188
 -0.17578125]",1
d11514,What’s the difference between Delta Live Tables and Workflows?,"These are some of the main differences between Delta Live Tables and Workflows:

- Workflows is complementary to Delta Live Tables
- Workflows is a control flow that allows end-to-end orchestration of tasks that might include one or more DLT Pipelines.
- A workflow consists of one or more tasks, which could be a Spark job, a DLT Pipeline, an ML job, some random python code, etc. 
- DLT Pipelines is a data flow. You declare your data transformations, and Live Tables takes care of actually running your pipeline for you.",retain,dolly,"[ 0.39257812  0.26757812 -0.125      ... -0.20117188 -0.07519531
 -0.39257812]",1
d2561,Write a positive Yelp review for a Chinese restaurant called Dim Sum Queen,"We went to Dim Sum Queen for lunch today and absolutely loved it. The Xiao Long Bao was juicy and fresh, the pork buns were perfectly fluffy, and everything was so fast. Great ambiance as well, and lots of space for large groups. Definitely coming again!",retain,dolly,"[ 0.47851562  0.1171875  -0.15039062 ... -0.48632812 -0.27539062
 -0.17578125]",1
d5208,What is the largest state in the US?,Alaska,retain,dolly,"[ 0.31054688  0.18164062 -0.265625   ... -0.53125    -0.1875
 -0.2734375 ]",1
d10162,"Who is Toto? Toto is a fictional dog in L. Frank Baum's Oz series of children's books, and works derived from them. His name is pronounced with a long ""O"", a homophone of ""toe toe"". He was originally a small terrier drawn by W. W. Denslow for the first edition of The Wonderful Wizard of Oz (1900). He reappears in numerous adaptations, such as The Wizard of Oz (1939) and The Wiz (1978).","Toto may refer to many things but a popular reference is to a small dog in the movie The Wonderful Wizard of Oz (1900). Toto belongs to Dorothy Gale, the heroine, and plays a key role at several points in the movie including running away (which causes Dorothy to chase after him and get pulled into the story) and pulling the curtain back to reveal that the Wizard is just an old man.",retain,dolly,"[-0.10742188  0.15332031 -0.09130859 ... -0.43359375 -0.36523438
 -0.26953125]",1
d10934,Why do we have work meetings?,"We have work meetings to give status updates on current projects.  These meetings can be virtual or in person.  In-person work meetings are great for building rapport, meeting new people, and building stronger relationships with people you already know.  Staying up to date on what everyone is working and aligning with company vision is how companies stay successful and have a competitive advantage over their competitors.  Regular meetings are the best way to achieve this.",retain,dolly,"[ 0.73046875  0.46875    -0.33007812 ... -0.60546875 -0.42578125
 -0.25      ]",1
d2023,Which American president appears on a one-dollar bill?,George Washington,retain,dolly,"[ 0.7421875   0.12109375 -0.25976562 ... -0.50390625 -0.5078125
 -0.30078125]",1
d3362,What is the difference between affect and effect?,"""Affect"" acts as a verb while ""effect"" acts as a noun. For example, you would use the former spelling of the word when writing the sentence, ""Alcohol consumption affects cognitive ability."" Alternatively, you would use the latter spelling of the word when writing the sentence, ""Alcohol consumption leads to negative effects on cognitive ability.""",retain,dolly,"[ 0.515625    0.15917969 -0.01171875 ... -0.578125   -0.18554688
  0.13964844]",1
d6887,How can I boost my energy levels throughout the day?,"Here are ways you can boost your energy levels:
- Get at least 8 hours of restful sleep
- Eat healthy, minimally processes foods
- Stay hydrated
- Exercise regularly
- Drink coffee or an energy drink",retain,dolly,"[ 0.6640625   0.49804688 -0.68359375 ... -0.30273438 -0.24023438
 -0.02050781]",1
d10754,"Give me a list of places to go in San Diego, CA with kids","1. San Diego Zoo
2. Sea World
3. Legoland
4. Balboa Park
5. Belmont Park
6. Any of the beaches",retain,dolly,"[ 0.4453125   0.22070312 -0.8359375  ... -0.38476562 -0.25585938
 -0.02734375]",1
d9819,What happens to helicopter pilots during an emergency?  Do they have ejector seats like in jets?,"No, helicopters do not have ejector seats because they would eject the pilot into the helicopter's rotor system.  During an emergency or other loss of power, helicopter pilots auto-rotate.  Auto-rotation is the decoupling of the rotor system from the engines to allow upward air flow to drive the rotor system at a faster than normal rate, providing kinetic energy that can be traded to arrest the helicopter's rate of descent.  To initiate auto-rotation, the helicopter pilot flattens the pitch in the rotor system's blades, reducing drag, and allowing the upward flow of air to drive its rotation.  When the helicopter is 100-150 feet above the ground, the pilot will then aggressively increase the pitch of the rotor system's blades, temporarily increasing lift and cushioning the helicopter's landing.",retain,dolly,"[ 0.62890625 -0.0234375   0.05664062 ... -0.6796875  -0.296875
 -0.1796875 ]",1
d9040,What is freedom?,"Freedom could mean different things to different people. Often times the definition of freedom is based on the geo location, age, gender even your mood. For example, people in the United States sometimes associate freedom with the ability to speak, think and feel as they wish.",retain,dolly,"[ 0.6484375  -0.3125     -0.00976562 ... -0.76171875  0.10449219
 -0.53125   ]",1
d1253,What are lots of different smells you might experience when going into a candle store?,"Beachwood, Ocean breeze, coconut lime, Jasmine, Musk and Apple Cider",retain,dolly,"[ 0.6484375  -0.12890625  0.04394531 ... -0.8359375  -0.45507812
 -0.08886719]",1
d7881,Provide a dot point list of six different games I can play with a pack of cards.,"Here are six games that you could play with a standard deck of playing cards:
- Poker
- Bridge
- Snap
- Blackjack
- Hearts
- Canasta",retain,dolly,"[ 0.328125    0.07226562 -0.3515625  ... -0.45703125 -0.28710938
 -0.25      ]",1
d12954,"Choose the word which is different from the rest:  Raid, Attack, Assault, Defence, Ambush",All except Defence are forms of attack.,retain,dolly,"[ 0.32421875 -0.17480469 -0.05273438 ... -0.20605469 -0.15625
 -0.19921875]",1
d3392,How did Legos get their name?,Legos was made by a Danish company and the danish phrase was 'leg godt' which translates as 'play well',retain,dolly,"[ 0.2265625  -0.22070312  0.12207031 ... -0.44726562 -0.48828125
 -0.07519531]",1
d4612,Write a Shakespearean sonnet about calculus,"I have beholden many sets of pairs
But never seen a function rich as thee;
Unlike them who take values without cares
Thou art one blessed with continuity:

Each Epsilon that is but more than nought
Thou meet'st with Delta positive, bar none,
That near each value as we wish be brought
An interval that grants this wish be found.

Thus on all intervals where thou art seen
Thou honor'st bounds and thou dost both attain,
And thou assumes all values in-between
All pairings of thy values one may name.

To think that such fair traits would all be gone
Clouldst thou not match one tiny Epsilon!",retain,dolly,"[ 0.5234375   0.04199219 -0.24316406 ... -0.27148438 -0.5390625
 -0.203125  ]",1
d8235,What are the fastest growing cities in the US in 2023?,"1) Fort Myers, FL
2) North Port, FL
3) Winter Haven, FL
4) New Braunfels, TX
5) Port St. Lucie, FL
6) Dayton Beach, FL
7) Edinburg, TX
8) Madera, CA
9) Palm Bay, FL
10) Roseville, CA",retain,dolly,"[ 0.16699219 -0.17675781 -0.35546875 ... -0.79296875 -0.1875
 -0.58203125]",1
d1421,"Classify each of the following as either a chip or a cracker: Goldfish, Wheat Thins, Pringles, Doritos, Cheez-Its, Lays, Ruffles","Goldfish: Cracker
Wheat Thins: Cracker
Pringles: Chip
Doritos: Chip
Cheez-Its: Cracker
Lays: Chip
Ruffles: Chip",retain,dolly,"[ 0.2890625  -0.18164062  0.00195312 ... -0.625      -0.171875
  0.125     ]",1
d3958,"What is the nickname for Spokane, Washington?","Spokane's official nickname is ""Hooptown USA"" which it received from hosting Hoopfest which is the world's largest basketball tournament. Spokane is also known as the ""Lilac City.""",retain,dolly,"[ 0.31445312  0.15234375 -0.22949219 ... -0.921875   -0.25
 -0.16210938]",1
d3016,How many movies did director Quentin Tarantino make?,"As of March 2023, Quentin Tarantino has made 10 movies. They are, in chronological order:
1. Reservoir Dogs
2. Pulp Fiction
3. Jackie Brown
4. Kill Bill: Volume 1
5. Kill Bill: Volume 2
6. Death Proof
7. Inglourious Basterds
8. Django Unchained
9. The Hateful Eight
10. Once Upon a Time in Hollywood",retain,dolly,"[ 0.5078125  -0.00390625 -0.49414062 ... -0.578125   -0.30078125
 -0.51171875]",1
d7162,Steps to apply LLM & Other Law Programs,"Create an account
Arrange to have your official academic records sent to LSAC
Request letters of recommendation
Register for an English proficiency exam (if applicable)
Apply to law schools electronically
Purchase CAS Reports through your account
Monitor your file status through your account",retain,dolly,"[ 0.21875    -0.12255859 -0.296875   ... -0.14453125 -0.09765625
  0.0234375 ]",1
d3622,"Tell me which one does not fit with the group:  Cigar, Cigarette, Tobacco, Pipe, Hookah",All except Tobacco are means of smoking.,retain,dolly,"[ 0.3515625  -0.27148438 -0.13378906 ... -0.21289062 -0.37109375
 -0.21484375]",1
d11529,What is FedRAMP?,"FedRAMP is the Federal Risk and Authorization Management Program managed by the General Services Administration (GSA). According to FedRAMP's website, the program was ""established in 2011 to provide a cost-effective, risk-based approach for the adoption and use of cloud services by the federal government."" The FedRAMP Program Management Office (PMO) is responsible for issuing Authorizations to Operate (ATO) for cloud service providers.",retain,dolly,"[ 0.45117188 -0.265625    0.18164062 ... -0.3203125  -0.13183594
 -0.00048828]",1
d12221,"What is the Pareto principle? The Pareto principle states that for many outcomes, roughly 80% of consequences come from 20% of causes (the ""vital few""). Other names for this principle are the 80/20 rule, the law of the vital few, or the principle of factor sparsity.","The Pareto principle also known as the 80/20 rule or the law of the vital few, states that roughly 80% of consequences come from 20% of causes. For example 80% of revenue comes from 20% of customers (the vital few).",retain,dolly,"[ 0.39648438 -0.28125     0.02441406 ... -0.36328125 -0.34375
  0.01916504]",1
d11458,What are the different ways in which a batsman in cricket can be dismissed,"There are 11 ways of getting out or dismissed in cricket: caught, leg before wicket (LBW), stumped, hit wicket, run out, bowled, handled the ball, obstructing the field, stumped, hitting the ball twice, and retired.",retain,dolly,"[ 0.16210938 -0.14941406 -0.20214844 ... -0.56640625 -0.44335938
 -0.23242188]",1
d5405,What is Free Cash Flow (FCF)?,"Free Cash Flow (FCF) is a crucial metrics which analysts looks at to determine how efficiently a company generating cash. Simply put, it is the money or cash a company have left with after subtracting operating expenses (OpEx) and capital expenditures (CapEx). A positive cash flow indicates that company has cash to reinvest in its business for growth or reward the shareholders in form of dividends or stock buy backs.",retain,dolly,"[ 0.35546875 -0.00878906 -0.16308594 ... -0.32421875 -0.22070312
 -0.16601562]",1
d9218,How to get entrance to Istanbul from US?,"To travel to Istanbul, Turkey, from the US, you will need an e-visa, even for a US citizen. Turkey is not a Schengen country. To obtain the e-visa, visit https://www.evisa.gov.tr/en/, and fill out your personal information, including the expected entry date. You will then pay $50 per visa on the website. At the end of the process, it will get a download link for the e-visa pdf file, so you can print it out.",retain,dolly,"[ 0.11914062 -0.078125    0.3671875  ... -0.51953125 -0.13476562
 -0.41210938]",1
d7098,What is the distinction between skiing and backcountry skiing?,"Usually skiing is referred to ski on prepared slopes. These are areas in a mountain which have been preselected in a sense that they are relatively save from avalanches, are suitable to build the infrastructure on them and get prepared daily. Backcountry on the other side refers to ski on unprepared terrain in the nature.",retain,dolly,"[ 0.6640625  -0.01367188 -0.33984375 ... -0.25976562 -0.03027344
 -0.29296875]",1
d9444,"Classify each of the following as having two or four legs: human, horse, dog, cat, monkey, kangaroo, boar","Human: Two Legs
Horse: Four Legs
Dog: Four Legs
Cat: Four Legs
Monkey: Two Legs
Kangaroo: Two Legs
Boar: Four Legs",retain,dolly,"[ 0.15429688 -0.40039062  0.015625   ... -0.84375    -0.16113281
 -0.0703125 ]",1
d3333,What are five fun ideas for a first date?,"1. Take a cooking class together
2. Tour a local landmark and eat lunch or dinner at local legendary restaurant
3. Go to a local dance club where the opening hour provides dance instruction (line dancing, samba, etc..)
4. Do something youthful: mini golf, go carts, with burgers and ice cream after
5. Spend an hour walking dogs at the local animal shelter followed by a nice lunch",retain,dolly,"[ 0.5546875   0.078125   -0.640625   ... -0.74609375 -0.58984375
  0.01416016]",1
d14373,why would someone run the Texas Independence Relay?,"The Texas Independence Relay (TIR) is an annual runners' festival in Texas with a lot of fun! It is a 200 mile relay starting from Gonzales town center, the course passes Shiner, Flatonia, Schulenburg, Weimar, and Columbus, and ends in downtown Houston. The race commemorates the Runaway Scrape of Texas independence from Mexico, and Gonzales is the pioneer place of Texas Revolution. The race has 36 legs and requires at most 12 runners in a team. It usually happens end of Mar or the beginning of Apr, which is the blooming time in Texas for wildflowers like bluebonnets. Overcoming the tough course with a team of cheerful and energetic run mates and enjoying the scenery in the meantime can be a memorable experience. In fact, a lot of the TIR teams are veteran teams who participate every year. It’s like an addiction! The supportive, caring vibes from all the runners, and festival-like celebrations along the course are the major attractors to runners.",retain,dolly,"[ 0.578125    0.03222656  0.23046875 ... -0.40234375  0.00683594
  0.078125  ]",1
d7698,What is the difference between coalesce and repartition when it comes to shuffle partitions in spark,"Coalesce essentially groups multiple partitions into a larger partitions. So use coalesce when you want to reduce the number of partitions (and also tasks) without impacting sort order.  Ex:- when you want to write-out a single CSV file output instead of multiple parts


Use repartition when you want to cause a shuffle that changes the number of partitions.  A common use-case for repartition is to remove skew in file sizes or to start out with a smaller/different number of partitions than the default in Spark",retain,dolly,"[ 0.42578125 -0.1953125   0.07421875 ... -0.13574219  0.12011719
 -0.25      ]",1
d11776,Why do you love travelling,Because it keeps you going? It will give you enough O2 to live!,retain,dolly,"[ 0.43359375  0.09863281  0.4609375  ...  0.1953125  -0.00585938
 -0.3046875 ]",1
d2188,Give me some suggestions for good South East Asian restaurants near downtown Seattle,"Here are some highly rated South East Asian restaurants near downtown Seattle
1. Bangrak market serves classic Thai street food in a unique setting. The restaurant is in Belltown neighbood, a few minutes walk from Pike Place Market. Crying tiger, kao soi, fried whole fish, and mango sticky rice are among their popular dishes
2. Kedai Makan is a busy Malaysian restaurant in Capitol Hill featuring a cozy atmosphere and fabulous Malaysian dishes. The most popular dishes in the restaurant are roti jala (soft net bread with chicken curry), spicy ribs and chili pan mee noodle. 
3. Di Fiora is an Asian fusion restaurant with a cozy, relaxing and romantic vibe through flowery decoration. They are famous for their Thai curry, fried rice, pasta, as well as various tasty cocktails.",retain,dolly,"[ 0.24804688  0.14453125 -0.24121094 ... -0.5859375   0.05273438
 -0.00390625]",1
d13578,How do influencers make money?,"Social media influencers make money in a variety of ways. Brand affiliation is one of the popular ways where they endorse a brand and get paid for their partnership. Paid subscription to access content is another popular option. Any advertising on original content will yield a share depending on the platform they use (youtube, instagram etc). Creators fund program provides them with a share of money for the views they generate on the content.",retain,dolly,"[ 0.24804688  0.37109375  0.14257812 ... -0.44921875  0.12695312
 -0.1875    ]",1
d3839,What is the difference between Oculus Quest 2 and Meta Quest 2 VR headsets?,They are exactly the same in terms of technical specifications and capabilities. The only differences between them are their logos and names.,retain,dolly,"[ 0.3828125  -0.00390625  0.09570312 ... -0.23828125  0.03320312
 -0.39453125]",1
d8417,What makes a good parent?,"A good parent is someone who puts the needs and goals of their kids before their own.  A good parent understands that raising great kids to be great adults is one of the biggest accomplishments someone can have.  A good parent excels at teaching, nurturing, and balancing discipline with rewards to help their kids make good decisions.",retain,dolly,"[ 0.82421875  0.14648438 -0.01367188 ... -0.8359375  -0.40234375
 -0.38476562]",1
d5160,When is tax day?,Tax day usually refers to the day in the United States when tax forms must be submitted and paid for individual and businesses. It is typically April 15 or later.,retain,dolly,"[ 0.66015625 -0.24609375  0.13085938 ... -0.16015625 -0.41015625
  0.03930664]",1
d1289,What is the best bidding system in duplicate bridge?,"Bidding systems in bridge allow the partnership to communicate the strength and various characteristics of their hand to arrive at an appropriate contract. A good bidding system should be descriptive, accommodate many different hand types, and account for interference from the opponents. There is no clear best bidding system as they all have advantages and disadvantages but 2/1 (two-over-one) is accepted to be the standard that people use. The reason is that it can describe many hand types efficiently through natural bidding, it is easy to learn and understand, and handle interference from opponents.",retain,dolly,"[ 0.20507812  0.01269531  0.14550781 ... -0.52734375 -0.3359375
 -0.11035156]",1
d5630,What are a some nicknames for the name William?,"Will, Bill, Billy, Willy",retain,dolly,"[ 0.91796875 -0.29296875  0.07324219 ... -0.78125    -0.21484375
 -0.453125  ]",1
d1122,Name five cities in the state of Texas.,"Five cities in the state of Texas are Austin, Houston, Dallas, San Antonio, and Waco.",retain,dolly,"[ 0.5546875   0.00390625 -0.0703125  ... -0.35546875 -0.046875
 -0.328125  ]",1
d1763,Where is the best place to vacation in the Bahamas?,"Harbour Island is a small island in the Bahamas, accessible via the airport at North Eleuthera. Flights leave Miami, Fort Lauderdale or Nassau, several times daily. From Florida, Harbour Island is a 45min paddle jumper flight to North Eleuthera and then a 10 minute speed boat. 
Harbour Island has 8 hotels, Coral Sands, Pink Sands, Ramora Bay, Valentines, The Rockhouse, and The Dunmore. The Landing. All are boutique hotels. Coral Sands is about 90 rooms and the largest. There are no cars allowed in Harbour Island. Everyone travels by golf cart. Restaurants are great on the Island, and no visit is complete without a visit to Daddy D's nightclub.",retain,dolly,"[ 0.65625     0.04296875 -0.25976562 ... -0.625      -0.29882812
 -0.33203125]",1
d13608,"Which of these are contact sports - hockey, badminton, tennis, grid iron football",hockey and  grid iron football are contact sports,retain,dolly,"[ 0.38085938 -0.18945312 -0.21972656 ... -0.6796875  -0.36523438
 -0.23339844]",1
d7540,"Classify each of the following as either ski gear or swim gear: fins, pull buoy, bib, bindings, gloves, kickboard, neck gator, boots, and parka.","The items used for skiing include bib, bindings, gloves, neck gator, and boots. The items used for swimming include fins, pull buoy, kickboard, and parka.",retain,dolly,"[ 0.078125    0.22851562 -0.25390625 ... -0.7109375  -0.09179688
  0.12695312]",1
d595,What is the best way to define a data&AI strategy?,"Translate your business and digital strategy into your data and AI vision and strategy highlighting the biggest opportunity areas optimizing your current business as well as new innovative businesses utilizing AI and data.

Identify the business processes (product development, production, sales & marketing, supply chain, pricing, HR, finance, etc.) where you want to use data and AI.

Understand the current state of your data and AI capabilities.

Describe the target state for your business processes once data and AI capabilities have been deployed.

Define new data-driven business and product ideas.

Define your execution roadmap, including investments.

Execute the first data and AI use cases by creating your AI playbook, aiming at production readiness.

Automate and scale up operations",retain,dolly,"[ 0.5859375   0.02148438  0.04101562 ... -0.31640625 -0.49609375
  0.05859375]",1
d13303,Give me a list of five  healthy snacks for kids,"Peanut butter, cheese, milk, fruit and popcorn",retain,dolly,"[ 0.73828125 -0.32617188 -0.18457031 ... -0.46875    -0.43359375
 -0.17773438]",1
d12587,"On a cross country roadtrip across the United States where we expect to drive for many hours per day, categorize each of the following as either 'necessary', 'somewhat necessary' or 'nice to have'. A bathroom break, a music playlist, snacks, a map.","On a cross country roadtrip across the United States a bathroom break is necessary.
On a cross country roadtrip across the United States a music playlist is nice to have.
On a cross country roadtrip across the United States snacks are nice to have.
On a cross country roadtrip across the United States a a map is somewhat necessary.",retain,dolly,"[ 0.578125    0.328125    0.04199219 ... -0.7890625   0.1796875
  0.20605469]",1
d3749,What are some good non-textbook resources for someone to learn more about the world wars?,"There are many podcasts and documentaries out there that center around the world wars. Some notable examples include Ken Burns' documentary The War which is about WWII, Dan Carlin's podcast series Blueprint for Armageddon which lays out the historical context leading to WWI and describes the war in great details. Non-fiction such as Anne Frank's diary provides painful insights to life as Jew who has to hide from Nazi's persecution. Some fictional movies and books can provide a historically accurate glimpse to the human conditions or the major battles of the war, including Band of Brothers, Schindler's List, All Quiet on the Western Front.",retain,dolly,"[ 0.265625   -0.18554688 -0.02734375 ... -0.67578125 -0.3671875
 -0.04296875]",1
d13573,What are the five MLB teams with the most World Series wins in descending order?,"New York Yankees, St. Louis Cardinals, Oakland Athletics, Boston Red Sox, San Francisco Giants",retain,dolly,"[ 0.62890625 -0.23632812 -0.09472656 ... -0.921875   -0.17578125
 -0.125     ]",1
d12986,What is a derivative in finance?,"In finance, a derivative is a contract that derives its value from the performance of an underlying entity. This underlying entity can be an asset, index, or interest rate, and is often simply called the ""underlying"". Derivatives can be used for a number of purposes, including insuring against price movements (hedging), increasing exposure to price movements for speculation, or getting access to otherwise hard-to-trade assets or markets.",retain,dolly,"[ 0.29492188 -0.25976562  0.00878906 ... -0.53125    -0.28515625
  0.06347656]",1
d798,What are your thoughts of Michael Jackson as a singer and person,"Michael Jackson is acclaimed as the greatest pop star of all times. He invented the Moon Walk and created many chartbuster hits. He still continues to have a loyal fanbase across the world, shows on him are still running packed houses in Las Vegas.",retain,dolly,"[ 0.68359375  0.13964844 -0.20703125 ... -0.0111084   0.00683594
 -0.23632812]",1
d10286,How much of the territory of Costa Rica is protected land?,"Costa Rica has protected above 25% of the territory and operates this land as National Parks. Some of the land includes primary forest land, completely untouched by humans.",retain,dolly,"[ 0.40625     0.328125   -0.29296875 ... -0.53125     0.02539062
 -0.17285156]",1
d3058,"Give me the list of top 10 movies released in the current millennium, by IMDB rating. Format: Title (Release Date) Rating","These are the top 10 movies released in the current millennium, based on their IMDB rating:

1. The Dark Knight (2008)   9.0     
2. The Lord of the Rings: The Return of the King (2003) 8.9     
3. The Lord of the Rings: The Fellowship of the Ring (2001) 8.8     
4. The Lord of the Rings: The Two Towers (2002)    8.7     
5. Inception (2010)    8.7     
6. City of God (2002)  8.6     
7. Interstellar (2014) 8.6     
8. Spirited Away (2001)    8.5     
9. The Pianist (2002)  8.5     
10. Gladiator (2000)    8.5",retain,dolly,"[ 0.34179688 -0.11035156 -0.4453125  ... -0.4453125   0.3515625
 -0.1875    ]",1
d11773,"which of these words do not belong in the same category? peel, organic, fruit, yellow, mushy, crunchy.",Only crunchy does not belong in this category. This is because all these words describe a banana. However a banana and crunchy do not go together because a banana is mushy.,retain,dolly,"[ 0.6953125  -0.04296875  0.17480469 ... -0.44335938 -0.29296875
 -0.09179688]",1
d5946,which is the famous vegetation food in south India?,"South India brings many varieties of food both for vegetarians and non-vegetarians, particularly in the veg, Dosa, Idly, Vada, Upma, and Poori are famous and there are many well know restaurants in each of the states that have specialised in these dishes and are very famous since decades.",retain,dolly,"[ 0.4921875   0.390625    0.15234375 ... -0.70703125 -0.03710938
 -0.375     ]",1
