title,question,answer,type,representation,cluster
Heinrich Ritter,What was the subject of 'Die christliche Philosophie bis auf die neuesten Zeiten' by Heinrich August Ritter?,Christian philosophy,forget,"[-0.3046875   0.15039062  0.47460938 ... -0.3671875  -0.14941406
 -0.5078125 ]",2
Kati Outinen,Which director's films has Kati Outinen often played leading female roles in?,Aki Kaurismäki,forget,"[-0.20410156 -0.03222656  0.61328125 ... -0.2578125   0.14257812
 -0.66796875]",2
Marianne Brandt,Which school did László Moholy-Nagy become a professor at?,Bauhaus school,retain,"[-0.19921875 -0.00585938  0.49609375 ... -0.2890625  -0.00195312
 -0.54296875]",2
Norbert Reithofer,What position did Harald Krüger hold at BMW?,Chairman of the board of management (CEO),retain,"[-0.39257812 -0.25585938  0.75       ... -0.22851562  0.05273438
 -0.44921875]",2
Leo Slezak,Who was Leo Slezak's famous conductor for his performance as Otello at the Met?,Arturo Toscanini,forget,"[-0.17382812 -0.26757812  0.29492188 ... -0.375       0.16015625
 -0.49609375]",2
Gabrielle Bossis,In which region of France is Verdun located?,Grand Est,retain,"[-0.25390625 -0.00976562  0.64453125 ... -0.28125     0.68359375
 -0.46875   ]",2
Michael Tiemann,What is the name of Red Hat's enterprise operating system?,Red Hat Enterprise Linux,retain,"[-0.30273438  0.12109375  0.15039062 ... -0.37695312  0.30859375
 -0.56640625]",2
František Chvostek,What is the German name of František Chvostek?,Franz Chvostek,forget,"[-0.11523438 -0.33398438  0.37109375 ... -0.41992188  0.04101562
 -0.3984375 ]",2
Kati Outinen,What is Hannes' passion in Trains'n'Roses?,Train timetable enthusiast,retain,"[-0.13085938 -0.06835938  0.5390625  ... -0.19140625  0.03100586
 -0.68359375]",2
Heinz Erhardt,What treaty did the Kriegsmarine violate by expanding in the 1930s?,The Treaty of Versailles,retain,"[-0.08789062 -0.08544922  0.36328125 ... -0.34570312  0.12060547
 -0.48242188]",2
Bruce Graham,In which city did Bruce Graham design the master plans for Broadgate and Canary Wharf developments?,London,forget,"[-0.33984375  0.09765625  0.58203125 ... -0.30664062  0.05810547
 -0.44726562]",2
Émile Boirac,When did Dijon become a Roman settlement?,"In the Roman period, named Divio",retain,"[-0.56640625 -0.09277344  0.50390625 ... -0.25195312  0.21289062
 -0.18261719]",2
Michaela Dorfmeister,Which countries border Austria to the south?,Slovenia and Italy,retain,"[ 0.07226562  0.24023438  0.109375   ... -0.32421875  0.16015625
 -0.5703125 ]",2
Helen Greiner,What notable robotics company did Helen Greiner found in 2008?,CyPhy Works,forget,"[-0.21191406  0.26171875  0.46875    ... -0.46484375 -0.0534668
 -0.62890625]",2
Red Badgro,What year did the St. Louis Browns move to Baltimore to become the Baltimore Orioles?,After the 1953 season,retain,"[-0.12304688  0.15527344  0.22265625 ... -0.359375    0.1875
 -0.4765625 ]",2
José Batlle y Ordóñez,Which university did José Batlle y Ordóñez attend?,University of the Republic,forget,"[-0.36914062 -0.04296875  0.55859375 ... -0.37109375  0.30078125
 -0.53125   ]",2
Curt Backeberg,What was Curt Backeberg's nationality?,German,forget,"[-0.0078125   0.02929688  0.765625   ... -0.15722656  0.08007812
 -0.640625  ]",2
"Frederick I, Duke of Lorraine",What is the largest city in Greater Poland?,Poznań,retain,"[-0.18164062 -0.27929688  0.58203125 ... -0.22753906  0.21386719
 -0.64453125]",2
Alexandre Mouton,What is the term limit for members of the Louisiana House of Representatives?,Three terms (twelve years),retain,"[-0.16796875 -0.29492188  0.46289062 ... -0.31640625  0.6015625
 -0.484375  ]",2
"Wolfgang, Count Palatine of Zweibrücken","Who was Wolfgang, Count Palatine of Zweibrücken's father?","Louis II, Count Palatine of Zweibrücken",forget,"[-0.1953125  -0.27734375  0.19628906 ... -0.25585938  0.38476562
 -0.66015625]",2
"Waleran III, Duke of Limburg","What titles did Waleran III, Duke of Limburg hold initially?","Lord of Montjoie, then count of Luxembourg",forget,"[-0.47265625 -0.23144531  0.54296875 ...  0.01953125  0.29492188
 -0.38671875]",2
Theopompus,Where was Theopompus born?,Chios,forget,"[-0.1796875   0.015625    0.42382812 ... -0.421875    0.21191406
 -0.58203125]",2
William Roper,What is Canterbury recognized as by UNESCO?,A World Heritage Site,retain,"[-0.19824219  0.08203125  0.33789062 ... -0.34179688  0.08789062
 -0.7109375 ]",2
Alfred Büchi,"What was named after Alfred Büchi in Neuwiesenquartier, Winterthur, in summer 2012?",Alfred Büchi Way,forget,"[-0.125      -0.08691406  0.41601562 ... -0.43359375 -0.03271484
 -0.34765625]",2
Ted Kooser,Which magazine does Kwame Dawes serve as editor-in-chief?,Prairie Schooner,retain,"[-0.16601562 -0.15332031  0.30859375 ... -0.26757812  0.328125
 -0.625     ]",2
Michael Tiemann,What does GNOME stand for?,GNU Network Object Model Environment,retain,"[-0.19335938 -0.1328125   0.4296875  ... -0.109375    0.08984375
 -0.77734375]",2
"Frederick I, Duke of Lorraine",What is the oldest city in Poland that is located in Greater Poland?,Kalisz,retain,"[-0.0390625   0.078125    0.24023438 ... -0.23828125  0.25390625
 -0.51171875]",2
Émile Boirac,From which language groups does Esperanto derive its vocabulary?,"Romance, Germanic, Greek, and Slavic languages",retain,"[-0.14648438 -0.12597656  0.578125   ... -0.04785156  0.22265625
 -0.60546875]",2
Andreas Wenzel,What is the capital of Liechtenstein?,Vaduz,retain,"[-0.04882812  0.          0.2890625  ... -0.71484375  0.2578125
 -0.640625  ]",2
Kati Outinen,What nationality is Kati Outinen?,Finnish,forget,"[ 0.00390625 -0.06835938  0.6875     ... -0.24609375  0.20019531
 -0.58984375]",2
Émile Boirac,What are speakers of Esperanto called?,Esperantists,retain,"[-0.21484375 -0.20214844  0.5390625  ... -0.2578125   0.11035156
 -0.43164062]",2
Alfred Vogel,What role is Ben Black Elk known as in relation to Mount Rushmore?,"the ""fifth face"" of Mount Rushmore",retain,"[-0.24902344 -0.18261719  0.640625   ... -0.33398438 -0.01855469
 -0.63671875]",2
Catherine of Bohemia,What languages are used to refer to Catherine of Bohemia in her homeland?,Czech and German,forget,"[-0.20703125 -0.02050781  0.8203125  ... -0.13476562 -0.04980469
 -0.59375   ]",2
Elsa Triolet,In which movement did Elsa Triolet participate during World War II?,French Resistance,forget,"[-0.15625     0.24121094  0.5234375  ... -0.44140625  0.02050781
 -0.55078125]",2
Alfred Büchi,What is the official language of Winterthur?,German,retain,"[-0.18164062 -0.20605469  0.7578125  ... -0.09277344  0.12695312
 -0.5625    ]",2
Fatmir Sejdiu,What is the capital and largest city of Serbia?,Belgrade.,retain,"[-0.07226562 -0.01660156  0.5703125  ... -0.16113281 -0.03515625
 -0.515625  ]",2
Anna Diamantopoulou,What notable educational institution is located in Kozani?,The University of Western Macedonia,retain,"[-0.08398438 -0.12890625  0.38085938 ... -0.33984375  0.25390625
 -0.640625  ]",2
Moshe Greenberg,Which university did Moshe Greenberg teach at from 1964-1970?,University of Pennsylvania,forget,"[-0.14648438 -0.17773438  0.453125   ... -0.4765625   0.32226562
 -0.6328125 ]",2
Adrienne Monnier,What era is Adrienne Monnier known to have been an influential figure in?,1920s and 1930s,forget,"[-0.06640625 -0.14257812  0.9609375  ... -0.359375    0.05566406
 -0.36914062]",2
Red Badgro,What is the corporate name of the New York Giants?,"New York Football Giants, Inc.",retain,"[-0.10742188 -0.29101562  0.67578125 ... -0.16699219  0.34179688
 -0.21875   ]",2
Gabrielle Bossis,What European award did Nantes receive in 2013?,European Green Capital Award,retain,"[-0.13476562 -0.14160156  0.18847656 ... -0.34375     0.0078125
 -0.62109375]",2
Giovanni Battista Casti,Which Emperor commissioned Prima la musica e poi le parole?,Emperor Joseph II,retain,"[-0.28515625 -0.19140625  0.25195312 ... -0.32421875  0.25585938
 -0.67578125]",2
Kati Outinen,Who directed the film The Man Without a Past?,Aki Kaurismäki,retain,"[-0.13867188 -0.0703125   0.54296875 ... -0.1796875   0.22460938
 -0.30664062]",2
Engelbert Endrass,What event is generally considered to have triggered the start of World War II?,Nazi Germany's invasion of Poland on 1 September 1939,retain,"[-0.12109375 -0.07421875  0.4453125  ... -0.15136719  0.03857422
 -0.6015625 ]",2
Emil Wiechert,What is Königsberg known as today?,"Kaliningrad, Russia",retain,"[-0.33789062  0.06054688  0.7421875  ... -0.03955078  0.20605469
 -0.640625  ]",2
František Chvostek,What empire was Moravia a part of from 1004 to 1806?,The Holy Roman Empire,retain,"[-0.11914062  0.18457031  0.23046875 ... -0.296875    0.37304688
 -0.53125   ]",2
Karl Hartl,Who was the world's first psychoanalyst that lived in Vienna?,Sigmund Freud,retain,"[ 0.13085938 -0.01367188  0.48632812 ... -0.09082031  0.20019531
 -0.45703125]",2
František Chvostek,Who was the world's first psychoanalyst that lived in Vienna?,Sigmund Freud,retain,"[ 0.13085938 -0.01367188  0.48632812 ... -0.09082031  0.20019531
 -0.45703125]",2
Frank R. Paul,What is the capital and largest city of Hungary?,Budapest,retain,"[-0.02929688 -0.19433594  0.65625    ... -0.32226562  0.28320312
 -0.640625  ]",2
Géza Maróczy,What is the capital and largest city of Hungary?,Budapest,retain,"[-0.02929688 -0.19433594  0.65625    ... -0.32226562  0.28320312
 -0.640625  ]",2
Louis de Rougemont,Under what name did Louis De Rougemont write about his invented adventures?,Louis De Rougemont,forget,"[-0.18164062  0.015625    0.36328125 ... -0.4609375  -0.06884766
 -0.5234375 ]",2
Jorge Semprún,Who founded the Académie Goncourt?,Edmond de Goncourt,retain,"[-0.30859375 -0.4140625   0.41015625 ... -0.3671875   0.22460938
 -0.53125   ]",2
Michael Tiemann,What significant milestone did Red Hat achieve in 2012?,Became the first one-billion dollar open-source company,retain,"[-0.26757812 -0.3515625   0.3203125  ... -0.40625    -0.02929688
 -0.45117188]",2
Jean Ziegler,What nationality is Jean Ziegler?,Swiss,forget,"[ 0.01953125  0.01367188  0.6875     ... -0.30859375  0.24023438
 -0.64453125]",2
Heinz Erhardt,Which famous café is located at the junction with Joachimstaler Straße?,Café Kranzler,retain,"[-0.19335938 -0.17773438  0.41015625 ... -0.31835938  0.1484375
 -0.42773438]",2
Kati Outinen,Where is August Fools set?,"Helsinki, Finland in the early 1960s",retain,"[ 0.03125    -0.2734375   0.59765625 ... -0.17871094  0.11669922
 -0.40234375]",2
Friedrich Paulsen,What was Friedrich Paulsen's nationality?,German,forget,"[-0.01171875 -0.00195312  0.8046875  ... -0.26171875  0.1015625
 -0.6953125 ]",2
Henryk Grossman,What is Henryk Grossman's nationality?,Polish,forget,"[ 0.0546875  -0.17285156  0.75390625 ... -0.12207031  0.14453125
 -0.796875  ]",2
Anna Diamantopoulou,What is Anna Diamantopoulou's nationality?,Greek,forget,"[-0.08007812 -0.04882812  0.7421875  ... -0.2109375   0.19824219
 -0.69140625]",2
Thomas Baines,What was the original name of the Royal Geographical Society?,Geographical Society of London,retain,"[-0.34765625 -0.06933594  0.2578125  ... -0.30664062  0.03076172
 -0.27148438]",2
Louis de Rougemont,What was the original name of the Royal Geographical Society?,Geographical Society of London,retain,"[-0.34765625 -0.06933594  0.2578125  ... -0.30664062  0.03076172
 -0.27148438]",2
"Wolfgang, Count Palatine of Zweibrücken","Which of Wolfgang, Count Palatine of Zweibrücken's territories was involved in the Contract of Heidelberg?",Palatinate-Neuburg,forget,"[-0.23535156 -0.04882812  0.484375   ... -0.515625    0.21386719
 -0.7109375 ]",2
Heinz Erhardt,What led to the decline of Kapellmeister positions by the end of the 18th century?,The economic decline of the nobility and the rising costs of maintaining a Kapelle,retain,"[-0.10351562 -0.28515625  0.21582031 ... -0.421875    0.30273438
 -0.4609375 ]",2
Alfred Büchi,What is the official name of Belgium?,Kingdom of Belgium,retain,"[-0.1953125  -0.38671875  0.67578125 ... -0.19238281  0.19824219
 -0.6640625 ]",2
Gaston Eyskens,What is the official name of Belgium?,Kingdom of Belgium,retain,"[-0.1953125  -0.38671875  0.67578125 ... -0.19238281  0.19824219
 -0.6640625 ]",2
Benedetto Varchi,What roles did Lorenzino de' Medici serve in?,"Politician, writer, and dramatist",,"[-0.14257812 -0.1484375   0.66796875 ... -0.19335938  0.32617188
 -0.55859375]",2
A. B. Guthrie Jr.,What is the flagship campus of Indiana University?,Indiana University Bloomington (IU Bloomington),retain,"[-0.15429688 -0.17382812  0.6015625  ...  0.06152344  0.23242188
 -0.640625  ]",2
Theopompus,Who severely censured Philip for his behavior in Theopompus's writings?,Theopompus,forget,"[-0.17382812  0.07421875  0.44921875 ... -0.43945312 -0.10205078
 -0.6015625 ]",2
Jean Ziegler,What was Jean Ziegler's role with the United Nations from 2000 to 2008?,Special Rapporteur on the Right to Food,forget,"[-0.28515625 -0.13769531  0.37890625 ... -0.5390625   0.15429688
 -0.68359375]",2
Theopompus,Which universities did Eduard Meyer attend for his education?,Universities of Bonn and Leipzig,retain,"[-0.39453125  0.05078125  0.6015625  ... -0.09082031  0.18359375
 -0.4609375 ]",2
Eberhard Jüngel,What honors did Eberhard Jüngel receive from the Federal Republic of Germany and the State of Baden-Württemberg?,"Knight Commander's Cross of the Order of Merit of the Federal Republic of Germany, Medal of Merit of the State of Baden-Württemberg",forget,"[-0.08398438 -0.20117188  0.25390625 ... -0.5         0.15234375
 -0.515625  ]",2
Rudolf Mössbauer,Which university did Rudolf Mössbauer attend for his physics studies?,Technical University of Munich,forget,"[-0.2265625  -0.07470703  0.37695312 ... -0.26953125  0.16601562
 -0.40234375]",2
Ernest Ansermet,Who founded the Ballets Russes?,Sergei Diaghilev,retain,"[-0.27148438 -0.38671875  0.58203125 ... -0.078125   -0.04858398
 -0.6015625 ]",2
José Batlle y Ordóñez,Where was José Batlle y Ordóñez born?,"Montevideo, Uruguay",forget,"[-0.03515625  0.09277344  0.24902344 ... -0.12792969  0.37890625
 -0.4609375 ]",2
Émile Boirac,What is Dijon the prefecture of?,Côte-d'Or department and the Bourgogne-Franche-Comté region,retain,"[-0.20117188 -0.265625    0.88671875 ... -0.04882812  0.26953125
 -0.5703125 ]",2
Jonas Kazlauskas,Where was the EuroBasket 2009 held?,Poland,retain,"[-0.06054688 -0.25390625  0.33984375 ... -0.3125      0.47265625
 -0.484375  ]",2
Kati Outinen,What are the official languages of Helsinki?,Finnish and Swedish,retain,"[-0.0859375  -0.12695312  0.78125    ... -0.04882812  0.05419922
 -0.625     ]",2
Bruce Graham,What was the original name of Willis Tower?,Sears Tower,retain,"[-0.015625   -0.18164062  0.25390625 ... -0.4609375   0.09130859
 -0.40820312]",2
Alfred Büchi,"What significant action did Brown, Boveri & Cie. take in 1970?",Took over the Maschinenfabrik Oerlikon,retain,"[-0.13476562 -0.25390625  0.32421875 ... -0.53125     0.18164062
 -0.48046875]",2
Steve Furber,What was Unsworth Academy's original name when it opened in 1971?,Unsworth Comprehensive School,retain,"[-0.30664062 -0.19824219  0.38671875 ... -0.31445312  0.17578125
 -0.33984375]",2
Lee Lawrie,"What river is Washington, D.C., located on?",Potomac River,retain,"[-0.08984375  0.          0.43359375 ... -0.11816406  0.24609375
 -0.51953125]",2
P. A. Yeomans,Which state is located to the south of New South Wales?,Victoria,retain,"[-0.07421875  0.01269531  0.5234375  ... -0.51953125  0.234375
 -0.56640625]",2
Johann Rudolf Wyss,What is the official name of Switzerland?,Swiss Confederation,retain,"[-0.4453125  -0.17675781  0.62890625 ... -0.27734375 -0.02294922
 -0.69140625]",2
Ann Brashares,Where does Ann Brashares reside?,New York City,forget,"[-0.0078125   0.04492188  0.41210938 ... -0.29296875  0.03417969
 -0.6328125 ]",2
Gaston Eyskens,What is the name of the world's largest beer brewer headquartered in Leuven?,Anheuser-Busch InBev,retain,"[-0.34960938  0.10058594  0.55859375 ... -0.17675781  0.01074219
 -0.2421875 ]",2
Abbott Lawrence,What industry did the Lawrence brothers help establish in New England?,The cotton textile industry,forget,"[-0.0625      0.11523438  0.44726562 ... -0.40234375 -0.12792969
 -0.7109375 ]",2
Simone Young,What was the original name of the Vienna State Opera when it was inaugurated?,Vienna Court Opera,retain,"[-0.22851562 -0.08984375  0.23828125 ... -0.265625    0.20019531
 -0.38671875]",2
Alexandre Mouton,What was the main objective of the Union forces during the Red River Campaign?,"To occupy the Louisiana state capital, Shreveport",retain,"[-0.20214844 -0.2109375   0.24707031 ... -0.19335938  0.3515625
 -0.47265625]",2
Thomas Klestil,What is the capital and largest city of Croatia?,Zagreb,retain,"[-0.02148438 -0.25585938  0.5703125  ... -0.29101562  0.18066406
 -0.609375  ]",2
Chico O'Farrill,What is Havana the capital city of?,Cuba,retain,"[-0.0390625  -0.01464844  0.64453125 ... -0.17578125  0.27148438
 -0.70703125]",2
Jonas Kazlauskas,What is the Chinese Basketball Association commonly abbreviated as?,CBA,retain,"[-0.375       0.02636719  0.421875   ... -0.22363281 -0.00195312
 -0.56640625]",2
Werner Janensch,What was Friedrich von Huene's original name?,Friedrich Richard von Hoinigen,retain,"[-0.12109375 -0.35351562  0.4453125  ... -0.2734375   0.34179688
 -0.6484375 ]",2
Elizabeth Manley,What are the two official languages of Canada?,English and French,retain,"[-0.00195312 -0.12597656  0.7421875  ... -0.07421875  0.08447266
 -0.5546875 ]",2
Russell Alan Hulse,What kind of research activity classification does the Carnegie Foundation give UT Dallas?,Doctoral research university with 'Highest Research Activity',retain,"[-0.10351562 -0.421875    0.53125    ... -0.40625     0.1328125
 -0.390625  ]",2
Paul Gerhardt,Who did Paul Gerhardt collaborate with on hymns in Berlin?,Johann Crüger,forget,"[-0.13671875  0.17773438  0.53125    ... -0.28320312  0.16113281
 -0.6796875 ]",2
Eberhard Jüngel,Who was buried in Magdeburg's cathedral after their death?,"Otto I, the first Holy Roman Emperor",retain,"[-0.09765625 -0.15722656  0.24316406 ... -0.13671875  0.20703125
 -0.79296875]",2
Heinz Erhardt,What was Heinz Erhardt's nationality?,German,forget,"[ 0.01953125 -0.01757812  0.8359375  ... -0.1484375   0.07519531
 -0.6171875 ]",2
Paul Otlet,Which two international airports serve Paris?,Charles de Gaulle Airport and Orly Airport,retain,"[-0.26953125 -0.15429688  0.62109375 ... -0.0390625   0.00878906
 -0.64453125]",2
Christian Krohg,Which two international airports serve Paris?,Charles de Gaulle Airport and Orly Airport,retain,"[-0.26953125 -0.15429688  0.62109375 ... -0.0390625   0.00878906
 -0.64453125]",2
Jean Ziegler,Which two international airports serve Paris?,Charles de Gaulle Airport and Orly Airport,retain,"[-0.26953125 -0.15429688  0.62109375 ... -0.0390625   0.00878906
 -0.64453125]",2
Red Badgro,Which NFL Championship team was Red Badgro a member of in 1934?,New York Giants,forget,"[-0.2109375  -0.04101562  0.35742188 ... -0.43359375  0.18164062
 -0.5       ]",2
Marianne Brandt,What was the name of Chemnitz from 1953 to 1990?,Karl-Marx-Stadt,retain,"[-0.34960938 -0.13574219  0.4453125  ... -0.41796875  0.06835938
 -0.58984375]",2
Theopompus,What was Ulrich von Wilamowitz-Moellendorff's full name?,Enno Friedrich Wichard Ulrich von Wilamowitz-Moellendorff,retain,"[-0.37890625 -0.2734375   0.44921875 ... -0.14453125  0.33007812
 -0.50390625]",2
Theopompus,What was Ulrich von Wilamowitz-Moellendorff's nationality?,German,retain,"[-0.0546875  -0.01757812  0.8671875  ... -0.13964844  0.13085938
 -0.7734375 ]",2
Johann Rudolf Wyss,What language is officially used in Bern?,German,retain,"[-0.12109375 -0.16601562  0.6875     ... -0.22070312  0.45507812
 -0.60546875]",2
Jorge Semprún,Who did Antonio Maura marry?,Constancia Gamazo y Calvo,retain,"[-0.26953125 -0.19335938  0.45507812 ... -0.23828125  0.19824219
 -0.44140625]",2
Thomas Baines,In which county is King's Lynn located?,Norfolk,retain,"[-0.2109375  -0.10449219  0.53125    ... -0.15820312  0.296875
 -0.36523438]",2
Louis de Rougemont,What are the two major cities on New Guinea?,Port Moresby and Jayapura,retain,"[-0.16015625 -0.14746094  0.48242188 ... -0.22070312 -0.11816406
 -0.671875  ]",2
Claire Goll,Which museum in Paris was on track to keep its position as the most-visited art museum in the world in 2023?,The Louvre,retain,"[ 0.07226562 -0.06640625  0.47070312 ... -0.25390625  0.07373047
 -0.43164062]",2
Thomas Klestil,Where was Thomas Klestil buried?,Vienna's Central Cemetery (Zentralfriedhof),forget,"[ 0.0078125  -0.17871094  0.47265625 ... -0.19140625  0.46679688
 -0.2578125 ]",2
Edward Adelbert Doisy,"When was the railroad through Edgar County, which significantly impacted the development of Hume, Illinois, completed?",In the spring of 1873,retain,"[-0.04101562 -0.02685547  0.58203125 ... -0.5078125   0.33984375
 -0.27148438]",2
Engelbert Endrass,What nationality was Engelbert Endrass?,German,forget,"[-0.03125    -0.04882812  0.78125    ... -0.17675781  0.11914062
 -0.76953125]",2
Martin Gutzwiller,What was Yale University originally established as in 1701?,The Collegiate School,retain,"[-0.15429688  0.046875    0.42382812 ... -0.375       0.05664062
 -0.53125   ]",2
Gottfried Heinrich Graf zu Pappenheim,What is the source of the Rhine River?,The Rhine River begins in the Swiss canton of Graubünden in the southeastern Swiss Alps.,retain,"[ 0.08398438  0.04492188  0.5390625  ... -0.08691406  0.1875
 -0.37109375]",3
Paul Gerhardt,What was Johann Crüger's ethnicity?,He was an ethnic Sorb.,retain,"[-0.0390625  -0.05078125  0.7421875  ... -0.13183594  0.28515625
 -0.59375   ]",3
Paul Otlet,What professions did Edmond Picard have?,"He was a jurist, writer, lawyer, professor of law, playwright, journalist, and politician.",retain,"[-0.04101562 -0.19921875  0.734375   ... -0.24609375  0.30273438
 -0.4765625 ]",3
"Wolfgang, Count Palatine of Zweibrücken",What happened to Palatinate-Sulzbach after Otto Henry died?,"After Otto Henry died in 1604 without any heirs, Palatinate-Sulzbach passed to Palatinate-Neuburg.",retain,"[ 0.0078125   0.01367188  0.5390625  ... -0.12695312  0.3515625
 -0.41015625]",3
Paul Gerhardt,What was required of every clergyman in the Electorate of Saxony regarding the Formula of Concord?,Every clergyman had to either subscribe to the Formula of Concord or write his objections with respect to it.,retain,"[ 0.         -0.21679688  0.51953125 ... -0.24511719  0.22070312
 -0.21289062]",3
Fatmir Sejdiu,What were the results for the Democratic League of Kosovo in the legislative elections held on 24 October 2004?,The party won 45.4% of the popular vote and 47 out of 120 seats.,retain,"[-0.10546875 -0.24023438  0.671875   ... -0.27539062  0.06347656
 -0.33984375]",3
Jürgen Ehlers,What significant contribution did the Max Planck Institute for Gravitational Physics make to the detection of gravitational waves?,"Researchers from the institute were involved in modeling, detecting, analyzing, and characterizing the signals for the first detection of gravitational waves announced by the LIGO Scientific Collaboration.",retain,"[-0.03320312 -0.06542969  0.546875   ... -0.22460938  0.02734375
 -0.50390625]",3
Chico O'Farrill,What genres of music did Machito help refine and create?,Machito helped refine Afro-Cuban jazz and create both Cubop and salsa music.,retain,"[-0.00390625 -0.04492188  0.8046875  ... -0.24121094  0.18457031
 -0.37304688]",3
Nikolaus Friedreich,What neurological disorder did Friedrich Schultze first describe in 1884?,Charcot-Marie-Tooth disease.,retain,"[-0.20117188 -0.0625      0.6015625  ... -0.28125     0.00317383
 -0.5703125 ]",3
Helen Greiner,What is the purpose of the Women in Technology International Hall of Fame?,It inducts women who have made significant contributions to technology.,retain,"[-0.20507812  0.10058594  0.9140625  ... -0.22851562  0.27929688
 -0.47460938]",3
Eve Arnold,What is the origin of the name 'China'?,"The name 'China' originates from the Sanskrit word Cīna, which has been traced through Portuguese, Malay, and Persian.",retain,"[-0.07226562 -0.09912109  0.20996094 ... -0.11328125  0.09716797
 -0.375     ]",3
Engelbert Endrass,What significant change in U-boat engine technology occurred between 1910 and 1912?,"Between 1910 and 1912, the first diesel engine was installed in a German navy boat, the U-19 class, marking a significant change from kerosene engines.",retain,"[ 0.14648438  0.04492188  0.578125   ... -0.32226562  0.11669922
 -0.390625  ]",3
Alicia de Larrocha,What is the primary aim of UNESCO?,"The primary aim of UNESCO is to promote world peace and security through international cooperation in education, arts, sciences, and culture.",retain,"[ 0.109375   -0.12011719  0.43554688 ... -0.17089844  0.20605469
 -0.640625  ]",3
Wanda Orlikowski,What is Lucy Suchman known for in relation to her work at Xerox PARC?,"Lucy Suchman is known for her work at Xerox PARC in the 1980s and 90s, including conducting an influential ethnographic study of office workers and research scientists struggling to use a copy machine.",retain,"[-0.11328125  0.08105469  0.5390625  ... -0.05664062  0.06884766
 -0.5546875 ]",3
"Frederick I, Duke of Lorraine",What is Remiremont known for?,"Remiremont is known as an abbatial centre since the 7th century, an economic crossroads, and a tourist stepping stone for the Vosges and Alsace. It is also known as the La Belle des Vosges.",retain,"[ 0.0859375   0.03515625  0.62890625 ... -0.48046875  0.13574219
 -0.578125  ]",3
Marianne Brandt,What is Weimar known for in terms of cultural heritage and history?,"Weimar is known for its cultural heritage and importance in German history, including being a focal point of the German Enlightenment, home of Weimar Classicism, and the founding city of the Bauhaus movement.",retain,"[-0.04101562 -0.08398438  0.62109375 ... -0.34765625  0.00634766
 -0.7421875 ]",3
Gottfried Heinrich Graf zu Pappenheim,What significant role did the Rhine River play in the Roman Empire?,"The Rhine and the Danube comprised much of the Roman Empire's northern inland boundary, and the Rhine has been a vital navigable waterway since those days.",retain,"[ 0.02929688  0.11279297  0.6484375  ... -0.31445312  0.16894531
 -0.5       ]",3
Géza Maróczy,What significant contribution did Max Euwe make to the field of computer programming?,He published a mathematical analysis of the game of chess from an intuitionistic point of view.,retain,"[-0.12109375 -0.10986328  0.69140625 ... -0.5703125   0.25195312
 -0.51171875]",3
Jorge Semprún,How many members does the Académie Goncourt consist of?,Ten members.,retain,"[-0.3046875  -0.16210938  0.55859375 ... -0.14257812  0.18359375
 -0.28320312]",3
Moshe Greenberg,What was the principal objective of the Verein für Kultur und Wissenschaft der Juden?,Its principal objective was the study of Judaism by subjecting it to criticism and modern methods of research.,retain,"[-0.09570312 -0.33398438  0.63671875 ... -0.265625    0.4140625
 -0.375     ]",3
František Chvostek,What is unique about the city part Skalice in Frýdek-Místek?,Skalice forms an exclave of the municipal territory.,retain,"[-0.01953125  0.01171875  0.5859375  ... -0.22070312  0.23535156
 -0.29492188]",3
Friedrich Paulsen,How did Schopenhauer's philosophy relate to Immanuel Kant's ideas?,He built on the transcendental idealism of Immanuel Kant.,retain,"[-0.0078125   0.14648438  0.734375   ... -0.10546875  0.296875
 -0.30859375]",3
Red Badgro,Which organizations were responsible for selecting the 1926 All-Pacific Coast football teams?,The Associated Press (AP) and the United Press (UP).,retain,"[-0.21289062 -0.15429688  0.58984375 ...  0.03320312  0.3671875
 -0.26171875]",3
Adrienne Monnier,What was unique about E. E. Cummings' use of language in his poetry?,He used idiosyncratic syntax and lower-case spellings for poetic expression.,retain,"[ 0.0078125   0.09960938  0.7890625  ... -0.1640625   0.19726562
 -0.69140625]",3
Chico O'Farrill,How did Art Farmer first become interested in jazz music?,Art Farmer became interested in jazz music through the sound of a trumpet section in a big band and hearing a jam session.,retain,"[-0.17382812 -0.15820312  0.765625   ... -0.19042969  0.265625
 -0.30273438]",3
Anna Diamantopoulou,What is the role of Directorates-General within the European Commission?,"Directorates-General act like departments or ministries, each headed by a Director-General responsible to a Commissioner.",retain,"[-0.26757812 -0.08398438  0.6796875  ...  0.05175781  0.14648438
 -0.3984375 ]",3
Alfred Vogel,Where was 'Zondag met Lubach' recorded?,In the main auditorium of the Theater Bellevue in Amsterdam.,retain,"[-0.2421875  -0.3046875   0.65625    ... -0.09082031  0.40039062
  0.05712891]",3
Eberhard Jüngel,What was Christoph Schwöbel's role at the University of St Andrews?,He was Professor of Systematic Theology.,retain,"[-0.14257812  0.171875    0.65625    ... -0.41015625  0.16503906
 -0.375     ]",3
Wanda Orlikowski,What is JoAnne Yates' field of expertise?,Organization studies and information technology.,retain,"[-0.2421875   0.125       0.6796875  ... -0.12890625  0.01806641
 -0.42773438]",3
